Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020
Sales,18.66,19.68,21.79,20.67,7.44,7.40,9.37,9.37,0.78
  └─ YOY Sales Growth %,,,,,-60%,-62%,-57%,-55%,-90%
Expenses,17.26,18.56,28.39,58.95,6.75,6.39,8.48,27.56,1.98
  └─ Material Cost %,34%,33%,31%,45%,29%,23%,26%,34%,59%
  └─ Employee Cost %,24%,21%,23%,20%,19%,18%,27%,9%,58%
Operating Profit,1.40,1.12,-6.60,-38.28,0.69,1.01,0.89,-18.19,-1.20
OPM %,7.50%,5.69%,-30.29%,-185.20%,9.27%,13.65%,9.50%,-194.13%,-153.85%
Other Income,0.24,0.21,5.25,-5.31,0.46,0.23,0.41,19.21,0.30
  └─ Other income normal,0.24,0.21,5.25,-5.31,0.46,0.23,0.41,19.21,0.30
Interest,0.41,0.36,0.37,0.25,0.31,0.34,0.31,0.28,0.25
Depreciation,0.89,0.44,0.67,0.75,0.49,0.49,0.49,1.60,0.76
Profit before tax,0.34,0.53,-2.39,-44.59,0.35,0.41,0.50,-0.86,-1.91
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-51.16%,0.00%
Net Profit,0.34,0.52,-2.39,-44.58,0.35,0.42,0.50,-0.41,-1.92
  └─ Profit excl Excep,0,1,-2,-45,0,0,0,-0,-2
  └─ Profit for PE,0,1,-2,-45,0,0,0,-0,-2
  └─ Profit for EPS,0,1,-2,-45,0,0,0,-0,-2
  └─ YOY Profit Growth %,,,,,3%,-19%,121%,99%,-649%
EPS in Rs,0.12,0.18,-0.82,-15.22,0.12,0.14,0.17,-0.14,-0.66
Raw PDF,,,,,,,,,
