Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1407,1507,1900,1667,1652,1905,2172,1930,1863,2099,2424,2163
  └─ YOY Sales Growth %,,,,,17.42%,26.41%,14.32%,15.81%,12.74%,10.19%,11.57%,12.04%
Expenses,1423,1512,1842,1634,1603,1848,2064,1914,1829,2037,2327,2093
  └─ Material Cost %,64%,64%,65%,63%,62%,63%,63%,62%,61%,63%,65%,65%
  └─ Employee Cost %,11%,11%,9%,11%,9%,9%,8%,12%,11%,10%,8%,9%
Operating Profit,-16,-6,59,33,49,57,108,16,33,62,97,70
OPM %,-1%,-0%,3%,2%,3%,3%,5%,1%,2%,3%,4%,3%
Other Income,20,21,35,18,15,30,45,12,42,35,41,17
  └─ Exceptional items,0.00,0.00,0.00,0.00,-12.26,-1.02,0.47,-36.74,-6.46,-3.43,-16.31,-23.81
  └─ Other income normal,19.89,20.80,35.33,18.21,26.80,30.93,44.28,48.47,48.41,38.25,56.84,40.82
Interest,36,39,41,0,38,41,42,38,40,40,39,36
Depreciation,84,89,96,103,95,98,104,108,101,98,104,104
Profit before tax,-115,-112,-43,-52,-70,-52,7,-118,-66,-41,-5,-53
Tax %,-4%,7%,14%,-16%,8%,22%,314%,-5%,0%,22%,605%,-10%
Net Profit,-110,-119,-48,-43,-76,-63,-15,-112,-67,-51,-39,-48
  └─ Minority share,20,19,24,-8,19,13,7,35,20,15,10,18
  └─ Exceptional items AT,0,0,0,0,-11,-1,-1,-36,-6,-3,17,-21
  └─ Profit excl Excep,-110,-119,-48,-43,-65,-62,-14,-75,-61,-48,-56,-27
  └─ Profit for PE,-90,-101,-24,-52,-49,-50,-7,-52,-42,-33,-41,-17
  └─ Profit for EPS,-90,-101,-24,-52,-57,-50,-8,-77,-46,-35,-29,-30
  └─ YOY Profit Growth %,,,,,46%,51%,70%,-0%,13%,33%,-468%,67%
EPS in Rs,,,,,,-0.97,-0.15,-1.47,-0.89,-0.67,-0.55,-0.58
Raw PDF,,,,,,,,,,,,
