Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,42.58,19.08,3.22,8.09,22.66,7.72,12.34,15.07,49.73,11.74,12.37,20.83,22.51
  └─ YOY Sales Growth %,27%,0%,-80%,-50%,-47%,-60%,283%,86%,119%,52%,0%,38%,-55%
Expenses,36.44,26.36,3.01,7.90,21.70,6.23,11.66,12.10,26.77,10.99,8.89,18.89,20.65
  └─ Material Cost %,28.63%,18.29%,-127.02%,29.67%,25.99%,20.47%,33.95%,29.33%,5.85%,-13.63%,-18.35%,19.40%,-12.53%
  └─ Employee Cost %,3.83%,6.60%,51.86%,18.79%,9.89%,19.43%,10.45%,8.29%,4.75%,10.14%,9.46%,5.90%,10.84%
Operating Profit,6.14,-7.28,0.21,0.19,0.96,1.49,0.68,2.97,22.96,0.75,3.48,1.94,1.86
OPM %,14.42%,-38.16%,6.52%,2.35%,4.24%,19.30%,5.51%,19.71%,46.17%,6.39%,28.13%,9.31%,8.26%
Other Income,11.28,0.81,0.68,1.29,-11.18,0.24,0.27,0.24,33.94,0.91,0.43,0.20,0.28
  └─ Exceptional items,0.00,0.00,0.00,0.00,-9.67,0.00,0.00,0.00,-44.34,0.00,0.00,0.00,0.00
  └─ Other income normal,11.28,0.81,0.68,1.29,-1.51,0.24,0.27,0.24,78.28,0.91,0.43,0.20,0.28
Interest,0.38,0.40,0.35,0.31,0.42,0.23,0.17,0.95,0.76,0.15,0.22,0.15,0.22
Depreciation,0.80,0.62,0.66,0.57,0.53,0.51,0.50,0.49,0.39,0.41,0.47,0.29,0.35
Profit before tax,16.24,-7.49,-0.12,0.60,-11.17,0.99,0.28,1.77,55.75,1.10,3.22,1.70,1.57
Tax %,0.00%,0.00%,0.00%,0.00%,36.35%,0.00%,0.00%,0.00%,5.20%,0.00%,0.00%,0.00%,-2.55%
Net Profit,16.24,-7.49,-0.12,0.60,-15.23,0.99,0.28,1.77,52.85,1.10,3.22,1.70,1.61
  └─ Exceptional items AT,0,0,0,0,-6,0,0,0,-42,0,0,0,0
  └─ Profit excl Excep,16,-7,-0,1,-9,1,0,2,95,1,3,2,2
  └─ Profit for PE,16,-7,-0,1,-9,1,0,2,95,1,3,2,2
  └─ Profit for EPS,16,-7,-0,1,-15,1,0,2,53,1,3,2,2
  └─ YOY Profit Growth %,1077%,19%,98%,117%,-156%,113%,333%,195%,1146%,11%,1050%,-4%,-98%
EPS in Rs,5.65,-2.61,-0.01,0.04,-0.98,0.06,0.02,0.11,3.41,0.07,0.21,0.11,0.10
Raw PDF,,,,,,,,,,,,,
