Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,567,620,640,643,657,724,740,781,815,858
  └─ YOY Sales Growth %,,,,,15.88%,16.78%,15.62%,21.52%,24.01%,18.47%
Expenses,405,494,467,454,476,498,502,511,536,563
  └─ Material Cost %,0.12%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%
  └─ Employee Cost %,50.54%,61.41%,56.36%,56.62%,58.34%,53.39%,53.50%,52.11%,49.81%,48.78%
Operating Profit,162,126,173,189,181,226,238,270,279,295
OPM %,29%,20%,27%,29%,28%,31%,32%,35%,34%,34%
Other Income,6,15,4,5,27,3,3,4,6,5
  └─ Other income normal,5.95,14.63,3.58,5.17,26.99,3.26,3.11,3.66,5.55,4.87
Interest,26,32,26,22,21,21,18,16,23,13
Depreciation,19,27,28,28,28,28,28,30,32,34
Profit before tax,124,81,122,144,160,180,195,228,229,253
Tax %,18%,21%,22%,21%,19%,18%,22%,21%,20%,19%
Net Profit,102,64,95,113,130,148,152,181,183,206
  └─ Profit excl Excep,102,64,95,113,130,148,152,181,183,206
  └─ Profit for PE,102,64,95,113,130,148,152,181,183,206
  └─ Profit for EPS,102,64,95,113,130,148,152,181,183,206
  └─ YOY Profit Growth %,,,,,28%,132%,59%,60%,41%,39%
EPS in Rs,5.94,3.72,5.57,6.59,7.56,8.61,8.83,10.53,10.68,12.00
Raw PDF,,,,,,,,,,
