Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,1.75,6.46,5.44,6.11,7.33,6.16,5.88,2.15,5.47
  └─ YOY Sales Growth %,,,,,318.86%,-4.64%,8.09%,-64.81%,-25.38%
Interest,0.12,0.07,0.01,0.01,0.04,0.02,0.02,0.01,0.01
Expenses,1.33,4.80,4.28,5.42,5.12,3.65,4.41,2.19,4.27
  └─ Material Cost %,42%,61%,60%,60%,30%,0%,32%,0%,65%
  └─ Employee Cost %,15%,4%,6%,7%,7%,9%,8%,17%,9%
Financing Profit,0.30,1.59,1.15,0.68,2.17,2.49,1.45,-0.05,1.19
Financing Margin %,17.14%,24.61%,21.14%,11.13%,29.60%,40.42%,24.66%,-2.33%,21.76%
Other Income,0.30,0.32,0.29,0.12,0.06,0.22,0.30,0.29,-0.26
  └─ Other income normal,0.30,0.32,0.29,0.12,0.06,0.22,0.30,0.29,-0.26
Depreciation,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Profit before tax,0.59,1.90,1.43,0.78,2.21,2.69,1.73,0.22,0.91
Tax %,11.86%,24.74%,25.17%,23.08%,26.70%,24.16%,23.70%,22.73%,32.97%
Net Profit,0.52,1.44,1.07,0.61,1.63,2.04,1.31,0.16,0.61
  └─ Profit excl Excep,1,1,1,1,2,2,1,0,1
  └─ Profit for PE,1,1,1,1,2,2,1,0,1
  └─ Profit for EPS,1,1,1,1,2,2,1,0,1
  └─ YOY Profit Growth %,,,,,213%,42%,22%,-74%,-63%
EPS in Rs,0.83,2.30,1.71,0.98,2.61,3.26,2.10,0.26,0.98
Gross NPA %,,,,,,,,,
Net NPA %,,,,,,,,,
Raw PDF,,,,,,,,,
