Metric,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,34,61,79,91,92,120,120,148
Expenses,30,46,69,72,77,95,107,119
  └─ Material Cost %,40.34%,51.96%,67.63%,57.35%,60.01%,0.00%,65.12%,0.00%
  └─ Employee Cost %,35.36%,14.94%,13.76%,15.84%,17.27%,15.86%,15.49%,14.83%
Operating Profit,5,14,10,19,15,25,13,30
OPM %,14%,24%,12%,21%,16%,21%,11%,20%
Other Income,0,1,0,1,0,2,1,1
  └─ Other income normal,0.00,1.31,0.17,0.96,0.42,2.37,0.96,0.86
Interest,1,1,1,1,1,1,2,2
Depreciation,0,1,1,2,2,2,2,3
Profit before tax,4,14,8,17,12,24,10,25
Tax %,12%,14%,-7%,13%,12%,19%,9%,15%
Net Profit,3,12,8,15,11,19,9,21
  └─ Minority share,0.00,-0.01,0.00,0.00,0.00,-0.01,-0.01,-0.50
  └─ Profit excl Excep,3.09,11.92,8.02,14.89,10.94,19.10,8.85,21.40
  └─ Profit for PE,3.09,11.91,8.02,14.89,10.94,19.09,8.84,20.90
  └─ Profit for EPS,3.09,11.91,8.02,14.89,10.94,19.09,8.84,20.90
EPS in Rs,30.90,11.91,5.46,10.14,7.45,13.01,6.02,14.24
Raw PDF,,,,,,,,
