Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,108056,112079,95752,111348,114678,113888,99957,110608,109633,110825,100856,115153,114937
  └─ YOY Sales Growth %,10.67%,-2.12%,-11.72%,1.51%,6.13%,1.61%,4.39%,-0.66%,-4.40%,-2.69%,0.90%,4.11%,4.84%
Expenses,102927,102434,87512,109187,109796,111800,97661,105113,103845,103365,94003,108155,105726
  └─ Material Cost %,91%,87%,86%,93%,91%,94%,92%,89%,89%,88%,87%,88%,85%
  └─ Employee Cost %,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,5130,9646,8240,2160,4882,2089,2296,5495,5788,7461,6852,6998,9211
OPM %,5%,9%,9%,2%,4%,2%,2%,5%,5%,7%,7%,6%,8%
Other Income,1358,1299,1040,791,594,933,526,462,930,507,715,727,1910
  └─ Other income normal,1358,1299,1040,791,594,933,526,462,930,507,715,727,1910
Interest,537,627,590,620,720,733,944,931,757,817,824,734,1020
Depreciation,1238,1371,1247,1345,1632,1484,1530,1518,1623,1604,1612,1674,2457
Profit before tax,4713,8947,7443,986,3124,805,348,3509,4338,5547,5131,5317,7644
Tax %,23%,24%,22%,28%,13%,21%,59%,28%,21%,26%,25%,25%,21%
Net Profit,3608,6766,5827,713,2709,634,143,2544,3415,4111,3859,4011,6065
  └─ Profit excl Excep,3608,6766,5827,713,2709,634,143,2544,3415,4111,3859,4011,6065
  └─ Profit for PE,3608,6766,5827,713,2709,634,143,2544,3415,4111,3859,4011,6065
  └─ Profit for EPS,3608,6766,5827,713,2709,634,143,2544,3415,4111,3859,4011,6065
  └─ YOY Profit Growth %,79%,179%,335%,60%,-25%,-91%,-98%,257%,26%,548%,2605%,58%,78%
EPS in Rs,16.96,31.80,27.38,3.35,12.73,2.98,0.67,11.95,16.05,19.32,18.14,18.85,28.50
Raw PDF,,,,,,,,,,,,,
