Metric,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,22.12,17.84,24.77,37.99
Expenses,19.51,13.32,23.37,36.66
  └─ Material Cost %,26%,42%,20%,59%
  └─ Employee Cost %,29%,17%,32%,16%
Operating Profit,2.61,4.52,1.40,1.33
OPM %,11.80%,25.34%,5.65%,3.50%
Other Income,0.24,2.41,0.42,1.32
  └─ Other income normal,0.24,2.41,0.42,1.32
Interest,0.80,0.76,0.83,0.74
Depreciation,0.88,1.55,1.06,1.18
Profit before tax,1.17,4.62,-0.07,0.73
Tax %,67.52%,35.71%,2014.29%,228.77%
Net Profit,0.38,2.98,-1.48,-0.95
  └─ Profit excl Excep,0.38,2.98,-1.48,-0.95
  └─ Profit for PE,0.38,2.98,-1.48,-0.95
  └─ Profit for EPS,0.38,2.98,-1.48,-0.95
EPS in Rs,0.23,1.80,-0.89,-0.57
Raw PDF,,,,
