Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,41,42,42,23,53,22,59,48,34,37,131,109,139
Expenses,35,36,36,21,45,19,53,44,30,33,115,99,127
  └─ Material Cost %,59%,62%,50%,48%,59%,46%,63%,59%,57%,59%,74%,78%,79%
  └─ Employee Cost %,11%,11%,11%,18%,12%,19%,11%,13%,17%,15%,7%,7%,6%
Operating Profit,6,6,6,1,9,3,7,5,4,4,15,9,12
OPM %,14%,13%,15%,6%,16%,12%,11%,10%,12%,11%,12%,8%,9%
Other Income,0,0,1,2,-0,0,0,0,-0,0,-1,0,1
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.91,-0.18,-0.18
  └─ Other income normal,0.43,0.02,0.54,1.64,-0.08,0.21,0.32,0.27,-0.08,0.18,0.11,0.26,0.82
Interest,2,2,2,2,2,2,2,2,2,2,3,3,4
Depreciation,1,1,1,1,1,1,1,1,1,1,3,2,3
Profit before tax,4,3,4,0,6,0,4,2,1,1,8,4,6
Tax %,29%,21%,46%,19%,30%,37%,32%,20%,34%,16%,23%,28%,28%
Net Profit,3,3,2,0,4,0,3,1,1,1,6,3,4
  └─ Minority share,-0.02,-0.02,-0.01,0.00,-0.02,0.00,-0.01,0.00,0.00,-0.01,-0.61,-0.52,-0.52
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.67,-0.12,-0.13
  └─ Profit excl Excep,2.79,2.60,2.05,0.26,3.88,0.27,2.82,1.48,0.79,1.11,6.47,3.14,4.45
  └─ Profit for PE,2.77,2.58,2.04,0.26,3.86,0.27,2.81,1.48,0.79,1.10,5.79,2.60,3.91
  └─ Profit for EPS,2.77,2.58,2.04,0.26,3.86,0.27,2.81,1.48,0.79,1.10,5.19,2.50,3.80
EPS in Rs,2.49,2.32,1.83,0.23,3.47,0.24,2.53,1.33,0.71,0.99,4.67,2.25,3.42
Raw PDF,,,,,,,,,,,,,
