Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23.16,31.93,32.88,33.88,35.19,37.85,38.83,41.69,43.28,46.37
  └─ YOY Sales Growth %,,,,,51.94%,18.54%,18.10%,23.05%,22.99%,22.51%
Expenses,18.08,25.01,25.39,25.67,26.30,29.53,30.40,31.45,32.22,32.41
  └─ Material Cost %,22.24%,36.89%,34.70%,35.63%,36.86%,37.01%,37.11%,35.57%,35.44%,37.74%
  └─ Employee Cost %,43.09%,31.29%,30.90%,32.91%,33.19%,31.94%,29.85%,30.51%,28.79%,25.94%
Operating Profit,5.08,6.92,7.49,8.21,8.89,8.32,8.43,10.24,11.06,13.96
OPM %,21.93%,21.67%,22.78%,24.23%,25.26%,21.98%,21.71%,24.56%,25.55%,30.11%
Other Income,0.41,0.69,0.55,1.00,0.83,2.07,2.40,0.83,0.05,-1.31
  └─ Other income normal,0.41,0.69,0.55,1.00,0.83,2.07,2.40,0.83,0.05,-1.31
Interest,0.00,0.03,0.07,0.10,0.08,0.06,0.07,0.07,0.06,0.13
Depreciation,0.26,0.35,0.38,0.41,0.63,0.65,0.60,0.63,0.64,0.64
Profit before tax,5.23,7.23,7.59,8.70,9.01,9.68,10.16,10.37,10.41,11.88
Tax %,26.00%,21.58%,24.37%,25.17%,25.42%,24.17%,24.70%,24.11%,25.55%,26.35%
Net Profit,3.87,5.67,5.73,6.51,6.73,7.35,7.65,7.87,7.75,8.74
  └─ Profit excl Excep,3.87,5.67,5.73,6.51,6.73,7.35,7.65,7.87,7.75,8.74
  └─ Profit for PE,3.87,5.67,5.73,6.51,6.73,7.35,7.65,7.87,7.75,8.74
  └─ Profit for EPS,3.87,5.67,5.73,6.51,6.73,7.35,7.65,7.87,7.75,8.74
  └─ YOY Profit Growth %,,,,,73.90%,29.63%,33.51%,20.89%,15.16%,18.91%
EPS in Rs,2.08,3.05,3.08,3.50,3.62,3.96,4.12,4.24,4.17,4.70
Raw PDF,,,,,,,,,,
