Metric,Mar 2021,Jun 2021,Dec 2021,Mar 2022,Jun 2022
Sales,275,135,434,352,338
  └─ YOY Sales Growth %,,,,28%,150%
Expenses,210,120,341,274,276
  └─ Material Cost %,51%,45%,51%,52%,50%
  └─ Employee Cost %,5%,11%,4%,6%,6%
Operating Profit,65,15,93,78,62
OPM %,24%,11%,21%,22%,18%
Other Income,0,1,0,0,1
  └─ Other income normal,0.49,1.16,0.49,0.29,0.56
Interest,4,4,5,6,6
Depreciation,11,11,14,15,15
Profit before tax,50,1,75,57,42
Tax %,80%,-151%,27%,31%,32%
Net Profit,10,2,55,40,29
  └─ Minority share,-0,0,0,0,0
  └─ Profit excl Excep,10,2,55,40,29
  └─ Profit for PE,10,2,55,40,29
  └─ Profit for EPS,10,2,55,40,29
  └─ YOY Profit Growth %,,,,296%,1347%
EPS in Rs,0.66,0.13,1.80,1.30,0.94
Raw PDF,,,,,
