Metric,Jun 2006,Sep 2006,Jun 2007,Sep 2007,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020
Sales,10.20,13.03,11.74,12.05,110.50,105.34,134.96,132.19,123.75,101.65,124.19,101.59
  └─ YOY Sales Growth %,,,15.10%,-7.52%,,,,,11.99%,-3.50%,-7.98%,-23.15%
Expenses,10.16,12.69,11.23,11.49,107.27,103.32,129.54,127.77,120.41,99.34,116.59,100.18
  └─ Material Cost %,85%,86%,84%,83%,76%,76%,77%,77%,77%,76%,75%,78%
  └─ Employee Cost %,4%,2%,3%,3%,6%,6%,5%,5%,6%,6%,5%,6%
Operating Profit,0.04,0.34,0.51,0.56,3.23,2.02,5.42,4.42,3.34,2.31,7.60,1.41
OPM %,0.39%,2.61%,4.34%,4.65%,2.92%,1.92%,4.02%,3.34%,2.70%,2.27%,6.12%,1.39%
Other Income,0.09,0.05,0.06,0.10,0.31,0.94,0.30,0.36,0.44,1.74,0.29,1.18
  └─ Other income normal,0.09,0.05,0.06,0.10,0.31,0.94,0.30,0.36,0.44,1.74,0.29,1.18
Interest,1.05,1.06,1.06,1.02,0.24,0.19,0.27,0.48,0.57,0.59,0.55,0.47
Depreciation,0.17,0.18,0.14,0.14,0.29,0.27,0.28,0.28,0.98,1.01,0.96,0.83
Profit before tax,-1.09,-0.85,-0.63,-0.50,3.01,2.50,5.17,4.02,2.23,2.45,6.38,1.29
Tax %,0.92%,1.18%,0.00%,2.00%,35.88%,36.40%,35.78%,36.82%,35.87%,36.33%,36.36%,27.91%
Net Profit,-1.10,-0.86,-0.63,-0.51,1.93,1.59,3.32,2.54,1.43,1.56,4.06,0.93
  └─ Profit excl Excep,-1,-1,-1,-1,2,2,3,3,1,2,4,1
  └─ Profit for PE,-1,-1,-1,-1,2,2,3,3,1,2,4,1
  └─ Profit for EPS,-1,-1,-1,-1,2,2,3,3,1,2,4,1
  └─ YOY Profit Growth %,,,43%,41%,,,,,-26%,-2%,22%,-63%
EPS in Rs,,,,,0.36,0.30,0.62,0.47,0.27,0.29,0.76,0.17
Raw PDF,,,,,,,,,,,,
