Metric,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Jun 2007
Sales,42.03,40.74,46.84,50.74,54.76,50.17,56.02,53.33
  └─ YOY Sales Growth %,,,,,30.29%,23.15%,19.60%,6.30%
Expenses,36.83,35.14,40.92,44.08,46.43,43.05,48.20,45.59
  └─ Material Cost %,29.84%,29.38%,32.43%,30.17%,23.37%,26.65%,24.60%,27.45%
  └─ Employee Cost %,12.75%,13.23%,11.78%,12.71%,10.77%,11.46%,11.85%,12.32%
Operating Profit,5.20,5.60,5.92,6.66,8.33,7.12,7.82,7.74
OPM %,12.37%,13.75%,12.64%,13.13%,15.21%,14.19%,13.96%,14.51%
Other Income,0.35,0.20,0.21,0.28,0.60,0.35,0.09,0.29
  └─ Other income normal,0.35,0.20,0.21,0.28,0.60,0.35,0.09,0.29
Interest,1.83,1.78,1.90,1.85,1.74,1.92,2.27,2.89
Depreciation,1.32,1.49,1.55,1.68,1.86,1.91,2.24,2.26
Profit before tax,2.40,2.53,2.68,3.41,5.33,3.64,3.40,2.88
Tax %,56.67%,31.62%,38.43%,42.23%,27.58%,35.71%,27.94%,31.25%
Net Profit,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93
  └─ Profit excl Excep,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93
  └─ Profit for PE,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93
  └─ Profit for EPS,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93
  └─ YOY Profit Growth %,,,,,254.81%,30.06%,55.56%,-14.22%
EPS in Rs,,,1.52,1.80,3.67,2.24,2.37,1.76
Raw PDF,,,,,,,,
