Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,8.38,64.24,21.07,55.50,63.50,33.74
Expenses,9.90,46.76,14.97,42.89,46.66,37.67
  └─ Material Cost %,9.07%,1.28%,29.14%,23.24%,43.12%,33.31%
  └─ Employee Cost %,37.35%,12.73%,15.80%,15.68%,9.57%,37.79%
Operating Profit,-1.52,17.48,6.10,12.61,16.84,-3.93
OPM %,-18.14%,27.21%,28.95%,22.72%,26.52%,-11.65%
Other Income,0.05,0.33,0.36,0.37,0.36,0.78
  └─ Other income normal,0.05,0.33,0.36,0.37,0.36,0.78
Interest,1.44,1.89,1.26,1.40,1.34,1.20
Depreciation,0.16,0.21,0.51,0.76,0.64,0.68
Profit before tax,-3.07,15.71,4.69,10.82,15.22,-5.03
Tax %,0.98%,20.69%,25.80%,25.69%,25.23%,5.57%
Net Profit,-3.09,12.46,3.46,8.04,11.38,-5.31
  └─ Profit excl Excep,-3.09,12.46,3.46,8.04,11.38,-5.31
  └─ Profit for PE,-3.09,12.46,3.46,8.04,11.38,-5.31
  └─ Profit for EPS,-3.09,12.46,3.46,8.04,11.38,-5.31
EPS in Rs,-2.43,7.21,2.00,4.65,6.59,-3.07
Raw PDF,,,,,,
