Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,58.93,51.26,51.00,54.50,70.07,49.06,55.66,53.40,75.60,52.17,56.58,60.79,66.78
  └─ YOY Sales Growth %,23.41%,7.40%,-2.76%,6.59%,18.90%,-4.29%,9.14%,-2.02%,7.89%,6.34%,1.65%,13.84%,-11.67%
Expenses,42.01,38.86,38.55,41.24,52.54,38.51,42.99,42.38,57.25,44.89,49.90,53.47,56.02
  └─ Material Cost %,33.50%,32.33%,34.37%,35.96%,40.42%,35.18%,32.86%,35.81%,39.37%,35.23%,37.29%,37.69%,38.11%
  └─ Employee Cost %,15.02%,18.18%,19.73%,17.63%,13.80%,20.06%,19.62%,20.28%,14.07%,23.37%,23.98%,23.31%,21.23%
Operating Profit,16.92,12.40,12.45,13.26,17.53,10.55,12.67,11.02,18.35,7.28,6.68,7.32,10.76
OPM %,28.71%,24.19%,24.41%,24.33%,25.02%,21.50%,22.76%,20.64%,24.27%,13.95%,11.81%,12.04%,16.11%
Other Income,1.73,1.81,1.67,1.82,1.82,1.95,2.78,1.92,2.11,1.70,1.30,1.35,1.18
  └─ Other income normal,1.73,1.81,1.67,1.82,1.82,1.95,2.78,1.92,2.11,1.70,1.30,1.35,1.18
Interest,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.01
Depreciation,2.18,2.06,2.13,2.10,2.26,2.19,2.27,2.31,3.30,3.44,3.56,3.63,4.09
Profit before tax,16.47,12.15,11.99,12.98,17.09,10.30,13.16,10.62,17.15,5.53,4.41,5.04,7.84
Tax %,22.34%,25.76%,25.35%,26.04%,21.71%,25.44%,18.77%,22.60%,24.84%,31.65%,38.78%,40.87%,35.08%
Net Profit,12.79,9.02,8.95,9.60,13.38,7.68,10.69,8.22,12.89,3.78,2.70,2.98,5.09
  └─ Profit excl Excep,13,9,9,10,13,8,11,8,13,4,3,3,5
  └─ Profit for PE,13,9,9,10,13,8,11,8,13,4,3,3,5
  └─ Profit for EPS,13,9,9,10,13,8,11,8,13,4,3,3,5
  └─ YOY Profit Growth %,71%,25%,-10%,-5%,5%,-15%,19%,-14%,-4%,-51%,-75%,-64%,-61%
EPS in Rs,63.95,45.10,44.75,48.00,66.90,38.40,53.45,41.10,64.45,18.90,13.50,14.90,25.45
Raw PDF,,,,,,,,,,,,,
