Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,5.32,2.13,1.75,7.91,4.37,1.81,2.29,10.07,5.55,13.18,6.33
  └─ YOY Sales Growth %,,,,,-18%,-15%,31%,27%,27%,628%,176%
Expenses,1.44,0.85,0.92,1.03,4.26,1.75,1.14,1.90,4.34,8.06,5.34
  └─ Material Cost %,10%,15%,3%,-3%,81%,41%,3%,9%,68%,56%,71%
  └─ Employee Cost %,3%,5%,14%,6%,4%,12%,8%,5%,4%,2%,4%
Operating Profit,3.88,1.28,0.83,6.88,0.11,0.06,1.15,8.17,1.21,5.12,0.99
OPM %,72.93%,60.09%,47.43%,86.98%,2.52%,3.31%,50.22%,81.13%,21.80%,38.85%,15.64%
Other Income,0.00,0.00,0.00,0.00,0.13,0.03,0.02,0.00,0.01,0.03,0.03
  └─ Other income normal,0.00,0.00,0.00,0.00,0.13,0.03,0.02,0.00,0.01,0.03,0.03
Interest,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.03,0.01,0.01,0.01
Depreciation,0.02,0.02,0.02,0.02,0.03,0.06,0.09,0.13,0.06,0.07,0.07
Profit before tax,3.85,1.25,0.80,6.81,0.20,0.02,1.07,8.01,1.15,5.07,0.94
Tax %,4.16%,19.20%,21.25%,-7.93%,30.00%,750.00%,13.08%,2.12%,2.61%,10.65%,26.60%
Net Profit,3.52,0.98,0.27,7.34,-1.11,-1.05,0.93,7.74,1.42,4.83,1.55
  └─ Profit from Associates,-0,-0,-0,0,-1,-1,0,-0,0,0,1
  └─ Minority share,0,-0,0,0,0,0,0,-0,0,0,0
  └─ Profit excl Excep,4,1,0,7,-1,-1,1,8,1,5,2
  └─ Profit for PE,4,1,0,7,-1,-1,1,8,1,5,2
  └─ Profit for EPS,4,1,0,7,-1,-1,1,8,1,5,2
  └─ YOY Profit Growth %,,,,,-131%,-208%,232%,5%,228%,560%,67%
EPS in Rs,3.53,0.97,0.28,7.34,-1.11,-1.05,0.93,7.72,1.42,4.83,1.55
Raw PDF,,,,,,,,,,,
