Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,4.54,5.92,4.14,7.08,7.71,6.56,7.07,7.68,10.40,9.83,11.44,14.33,13.07
  └─ YOY Sales Growth %,398.90%,1.89%,-35.91%,25.75%,69.82%,10.81%,70.77%,8.47%,34.89%,49.85%,61.81%,86.59%,25.67%
Expenses,6.26,5.06,4.93,4.68,5.50,5.93,6.24,6.73,14.45,8.49,10.18,12.26,12.62
  └─ Employee Cost %,107%,71%,96%,57%,55%,76%,76%,64%,66%,62%,51%,48%,61%
Operating Profit,-1.72,0.86,-0.79,2.40,2.21,0.63,0.83,0.95,-4.05,1.34,1.26,2.07,0.45
OPM %,-37.89%,14.53%,-19.08%,33.90%,28.66%,9.60%,11.74%,12.37%,-38.94%,13.63%,11.01%,14.45%,3.44%
Other Income,0.08,0.05,0.01,0.01,0.90,0.36,0.29,0.49,4.76,0.64,0.67,0.75,1.87
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00
  └─ Other income normal,0.08,0.05,0.01,0.01,0.90,0.36,0.29,0.49,1.05,0.64,0.67,0.75,1.87
Interest,0.17,0.03,0.06,0.03,0.12,0.09,0.18,0.23,0.31,0.36,0.41,0.42,0.47
Depreciation,0.59,0.40,0.39,0.40,0.40,0.36,0.43,0.49,0.51,0.46,0.47,0.49,0.54
Profit before tax,-2.40,0.48,-1.23,1.98,2.59,0.54,0.51,0.72,-0.11,1.16,1.05,1.91,1.31
Tax %,-22.50%,10.42%,-41.46%,20.71%,29.34%,11.11%,11.76%,25.00%,618.18%,27.59%,25.71%,20.42%,48.85%
Net Profit,-1.86,0.43,-0.72,1.57,1.83,0.49,0.45,0.54,-0.79,0.84,0.77,1.52,0.68
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,3,0,0,0,0
  └─ Profit excl Excep,-2,0,-1,2,2,0,0,1,-4,1,1,2,1
  └─ Profit for PE,-2,0,-1,2,2,0,0,1,-4,1,1,2,1
  └─ Profit for EPS,-2,0,-1,2,2,0,0,1,-1,1,1,2,1
  └─ YOY Profit Growth %,-75%,-80%,-130%,44%,198%,14%,162%,-66%,-309%,71%,71%,181%,118%
EPS in Rs,-0.37,0.08,-0.13,0.29,0.34,0.20,0.18,0.22,-0.15,0.16,0.14,0.28,0.13
Raw PDF,,,,,,,,,,,,,
