Metric,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,744,840,826,926,944,977,993,1046,1050,1040,1006,1095,1047
  └─ YOY Sales Growth %,114.88%,21.75%,11.44%,11.89%,26.85%,16.26%,20.18%,13.01%,11.24%,6.43%,1.27%,4.64%,-0.29%
Expenses,696,748,731,768,827,854,822,852,877,847,827,880,841
  └─ Material Cost %,66%,62%,62%,61%,63%,64%,61%,61%,61%,60%,59%,60%,58%
  └─ Employee Cost %,13%,12%,12%,10%,11%,10%,10%,9%,10%,9%,10%,8%,10%
Operating Profit,48,92,95,158,116,123,171,194,173,192,179,214,205
OPM %,6%,11%,12%,17%,12%,13%,17%,19%,16%,18%,18%,20%,20%
Other Income,8,8,8,9,11,35,12,10,15,17,17,30,22
  └─ Other income normal,7.99,8.43,7.69,9.21,11.46,34.76,11.99,9.87,15.17,17.44,16.54,30.18,21.76
Interest,1,1,0,2,1,0,1,6,1,1,1,1,3
Depreciation,15,13,14,13,14,15,15,14,14,13,13,13,14
Profit before tax,41,87,89,151,113,143,167,184,173,196,181,231,211
Tax %,26%,26%,25%,27%,26%,26%,25%,26%,25%,25%,25%,25%,26%
Net Profit,30,64,67,111,84,106,125,136,129,146,135,173,157
  └─ Profit excl Excep,30,64,67,111,84,106,125,136,129,146,135,173,157
  └─ Profit for PE,30,64,67,111,84,106,125,136,129,146,135,173,157
  └─ Profit for EPS,30,64,67,111,84,106,125,136,129,146,135,173,157
  └─ YOY Profit Growth %,171%,-14%,12%,57%,180%,65%,87%,22%,53%,38%,8%,27%,22%
EPS in Rs,26.72,57.01,59.24,98.46,74.80,94.30,110.79,120.48,114.70,129.70,120.05,153.44,139.50
Raw PDF,,,,,,,,,,,,,
