Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022
Sales,34.96,57.26,9.29,7.31,11.44,27.85,66.54,6.73,16.93,19.97,7.98,16.88,20.08
  └─ YOY Sales Growth %,,,-64.65%,-74.62%,-67.28%,-51.36%,616.25%,-7.93%,47.99%,-28.29%,-88.01%,150.82%,18.61%
Expenses,40.34,76.53,33.11,8.36,10.85,31.51,69.49,8.23,13.00,23.31,8.06,15.55,19.06
  └─ Material Cost %,88%,104%,218%,92%,89%,96%,103%,110%,74%,110%,97%,91%,84%
  └─ Employee Cost %,0%,1%,2%,2%,3%,0%,1%,9%,2%,5%,1%,1%,9%
Operating Profit,-5.38,-19.27,-23.82,-1.05,0.59,-3.66,-2.95,-1.50,3.93,-3.34,-0.08,1.33,1.02
OPM %,-15.39%,-33.65%,-256.40%,-14.36%,5.16%,-13.14%,-4.43%,-22.29%,23.21%,-16.73%,-1.00%,7.88%,5.08%
Other Income,0.51,0.84,0.06,0.10,-0.01,1.56,0.11,0.07,0.03,0.09,0.05,0.41,0.08
  └─ Other income normal,0.51,0.84,0.06,0.10,-0.01,1.56,0.11,0.07,0.03,0.09,0.05,0.41,0.08
Interest,0.96,-0.22,0.06,0.10,0.14,0.27,0.22,0.28,0.02,0.20,0.00,0.00,0.01
Depreciation,0.41,0.21,0.28,0.29,0.37,0.59,0.33,0.33,0.17,0.53,0.29,0.30,0.40
Profit before tax,-6.24,-18.42,-24.10,-1.34,0.07,-2.96,-3.39,-2.04,3.77,-3.98,-0.32,1.44,0.69
Tax %,0.00%,0.98%,0.00%,2.24%,57.14%,6.42%,3.83%,-3.43%,31.30%,-18.84%,34.38%,18.75%,37.68%
Net Profit,-6.24,-18.60,-24.09,-1.36,0.03,-3.16,-3.52,-1.97,2.59,-3.23,-0.43,1.18,0.44
  └─ Profit excl Excep,-6,-19,-24,-1,0,-3,-4,-2,3,-3,-0,1,0
  └─ Profit for PE,-6,-19,-24,-1,0,-3,-4,-2,3,-3,-0,1,0
  └─ Profit for EPS,-6,-19,-24,-1,0,-3,-4,-2,3,-3,-0,1,0
  └─ YOY Profit Growth %,,,-147%,86%,100%,83%,85%,-45%,8533%,-2%,88%,160%,-83%
EPS in Rs,-0.50,-1.48,-1.92,-0.11,0.00,-0.25,-0.28,-0.16,0.21,-0.26,-0.03,0.09,0.04
Raw PDF,,,,,,,,,,,,,
