Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,73.03,100.58,111.36,107.00,116.62,132.81,154.77,183.55,157.08,183.66,159.68,302.65,324.67
  └─ YOY Sales Growth %,-42%,-14%,4%,91%,60%,32%,39%,72%,35%,38%,3%,65%,107%
Expenses,78.47,90.77,100.88,97.65,118.01,123.29,147.23,174.56,152.60,167.57,148.54,285.53,308.52
  └─ Material Cost %,75%,63%,60%,60%,70%,62%,64%,67%,60%,61%,56%,64%,70%
  └─ Employee Cost %,7%,4%,4%,4%,5%,4%,4%,3%,5%,3%,4%,2%,3%
Operating Profit,-5.44,9.81,10.48,9.35,-1.39,9.52,7.54,8.99,4.48,16.09,11.14,17.12,16.15
OPM %,-7.45%,9.75%,9.41%,8.74%,-1.19%,7.17%,4.87%,4.90%,2.85%,8.76%,6.98%,5.66%,4.97%
Other Income,0.66,1.07,2.27,1.70,2.05,1.93,1.80,2.94,4.43,1.48,5.84,5.49,11.81
  └─ Other income normal,0.66,1.07,2.27,1.70,2.05,1.93,1.80,2.94,4.43,1.48,5.84,5.49,11.81
Interest,3.56,3.06,3.74,3.85,4.68,4.12,5.02,6.93,5.63,6.42,7.07,9.99,10.95
Depreciation,3.05,2.98,3.03,3.04,3.04,3.03,3.08,3.08,3.23,3.48,3.07,5.21,4.07
Profit before tax,-11.39,4.84,5.98,4.16,-7.06,4.30,1.24,1.92,0.05,7.67,6.84,7.41,12.94
Tax %,-18.96%,32.23%,25.25%,29.33%,-12.32%,29.30%,58.87%,-1.56%,2160.00%,24.90%,46.35%,4.32%,23.57%
Net Profit,-9.23,3.28,4.48,2.94,-6.19,3.05,0.51,1.95,-1.03,5.76,3.67,7.09,9.90
  └─ Profit excl Excep,-9,3,4,3,-6,3,1,2,-1,6,4,7,10
  └─ Profit for PE,-9,3,4,3,-6,3,1,2,-1,6,4,7,10
  └─ Profit for EPS,-9,3,4,3,-6,3,1,2,-1,6,4,7,10
  └─ YOY Profit Growth %,-50%,-63%,-34%,617%,33%,-7%,-89%,-34%,83%,89%,620%,264%,1061%
EPS in Rs,-1.37,0.49,0.67,0.44,-0.92,0.46,0.08,0.29,-0.15,0.86,0.55,1.06,1.48
Raw PDF,,,,,,,,,,,,,
