Metric,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,56.27,50.05,70.67,83.14,255.60,308.50,250.44,307.93,314.78,275.00,235.71,247.18,347.02
  └─ YOY Sales Growth %,133.78%,5.44%,15.44%,4.16%,,,,,23.15%,-10.86%,-5.88%,-19.73%,10.24%
Expenses,49.31,44.97,61.19,76.87,230.19,279.54,231.03,284.66,290.74,254.32,219.94,235.17,328.98
  └─ Material Cost %,74%,75%,64%,68%,74%,70%,67%,70%,72%,70%,67%,69%,73%
  └─ Employee Cost %,4%,4%,4%,4%,6%,8%,9%,8%,7%,9%,10%,11%,8%
Operating Profit,6.96,5.08,9.48,6.27,25.41,28.96,19.41,23.27,24.04,20.68,15.77,12.01,18.04
OPM %,12.37%,10.15%,13.41%,7.54%,9.94%,9.39%,7.75%,7.56%,7.64%,7.52%,6.69%,4.86%,5.20%
Other Income,0.09,0.11,0.92,0.87,0.33,0.99,0.64,0.28,3.36,3.00,5.35,0.57,1.49
  └─ Other income normal,0.09,0.11,0.92,0.87,0.33,0.99,0.64,0.28,3.36,3.00,5.35,0.57,1.49
Interest,0.93,1.08,0.65,0.74,1.47,2.23,3.70,3.13,1.93,2.44,2.51,2.43,3.05
Depreciation,1.11,1.07,1.46,1.32,8.46,9.93,10.58,11.78,12.25,12.12,14.50,15.21,15.06
Profit before tax,5.01,3.04,8.29,5.08,15.81,17.79,5.77,8.64,13.22,9.12,4.11,-5.06,1.42
Tax %,37.33%,34.54%,34.50%,37.80%,56.36%,21.98%,31.54%,26.16%,25.26%,10.53%,66.42%,-6.13%,109.86%
Net Profit,3.15,1.99,5.43,3.17,6.90,13.88,3.95,6.39,9.87,8.16,1.39,-4.75,-0.13
  └─ Minority share,-2,-1,0,0,-0,-1,0,-0,-0,-0,0,1,1
  └─ Profit excl Excep,3,2,5,3,7,14,4,6,10,8,1,-5,-0
  └─ Profit for PE,2,1,5,3,7,12,4,6,10,8,2,-3,1
  └─ Profit for EPS,2,1,5,3,7,12,4,6,10,8,2,-3,1
  └─ YOY Profit Growth %,80%,-37%,277%,-39%,,,,,46%,-35%,-61%,-152%,-90%
EPS in Rs,1.05,0.67,3.62,2.11,1.71,3.02,1.01,1.41,2.22,1.85,0.37,-0.74,0.22
Raw PDF,,,,,,,,,,,,,
