Metric,Mar 2024,Mar 2025,Sep 2025,Mar 2026
Sales,0.00,19.61,12.12,8.22
Expenses,0.00,14.12,10.12,4.98
  └─ Employee Cost %,,5.30%,9.32%,8.03%
Operating Profit,0.00,5.49,2.00,3.24
OPM %,,28.00%,16.50%,39.42%
Other Income,0.00,0.00,0.01,0.07
  └─ Other income normal,0.00,0.00,0.01,0.07
Interest,0.00,0.06,0.11,0.11
Depreciation,0.00,1.93,1.86,2.11
Profit before tax,0.00,3.50,0.04,1.09
Tax %,,26.00%,-500.00%,44.95%
Net Profit,0.00,2.59,0.24,0.60
  └─ Profit excl Excep,0.00,2.59,0.24,0.60
  └─ Profit for PE,0.00,2.59,0.24,0.60
  └─ Profit for EPS,0.00,2.59,0.24,0.60
EPS in Rs,0.00,0.88,0.08,0.20
Raw PDF,,,,
