Metric,Mar 2025,Mar 2026
Sales,43.39,33.44
Expenses,34.35,25.46
  └─ Employee Cost %,0.60%,1.14%
Operating Profit,9.04,7.98
OPM %,20.83%,23.86%
Other Income,0.30,0.32
  └─ Other income normal,0.30,0.32
Interest,1.65,1.62
Depreciation,0.60,0.46
Profit before tax,7.09,6.22
Tax %,25.67%,26.53%
Net Profit,5.27,4.57
  └─ Profit excl Excep,5.27,4.57
  └─ Profit for PE,5.27,4.57
  └─ Profit for EPS,5.27,4.57
EPS in Rs,2.86,2.48
Raw PDF,,
