Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,88,92,100,116,104,103,101,129,96,107,121,143
  └─ YOY Sales Growth %,,,,,19.03%,11.97%,1.78%,11.90%,-7.89%,3.81%,19.57%,10.57%
Expenses,82,82,88,97,94,87,91,113,91,99,104,111
  └─ Material Cost %,38.10%,34.38%,37.28%,36.82%,35.81%,33.49%,37.08%,40.21%,36.01%,36.17%,35.94%,34.94%
  └─ Employee Cost %,20.38%,22.04%,18.91%,15.80%,18.45%,18.02%,19.18%,15.32%,20.90%,19.31%,17.78%,12.53%
Operating Profit,6,9,12,18,10,16,10,17,5,8,17,32
OPM %,7%,10%,12%,16%,9%,15%,10%,13%,5%,8%,14%,22%
Other Income,1,1,1,1,2,2,2,3,-4,2,0,2
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.61,0.00,-1.92,0.00
  └─ Other income normal,1.11,1.44,1.06,1.48,2.16,1.58,1.86,2.59,2.92,2.15,2.42,2.06
Interest,1,1,1,1,0,0,0,0,0,0,0,0
Depreciation,4,4,4,4,5,5,5,5,5,5,5,5
Profit before tax,2,6,8,15,7,12,7,14,-4,5,13,29
Tax %,-36%,20%,30%,35%,28%,29%,38%,39%,3%,44%,31%,7%
Net Profit,3,5,6,9,5,9,4,9,-4,3,9,27
  └─ Minority share,0,0,0,-0,0,-0,0,0,0,0,-0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-6,0,-1,0
  └─ Profit excl Excep,3,5,6,9,5,9,4,9,2,3,10,27
  └─ Profit for PE,3,5,6,9,5,9,4,9,2,3,10,27
  └─ Profit for EPS,3,5,6,9,5,9,4,9,-4,3,9,27
  └─ YOY Profit Growth %,,,,,49%,71%,-25%,-7%,-55%,-67%,132%,214%
EPS in Rs,,,0.65,1.05,0.57,0.99,0.48,0.97,-0.47,0.32,0.98,3.06
Raw PDF,,,,,,,,,,,,
