Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,75.57,110.29,108.06,80.48,76.98,114.72,115.41
  └─ YOY Sales Growth %,,,,,1.87%,4.02%,6.80%
Expenses,54.59,74.83,55.67,59.10,65.95,60.01,71.74
  └─ Material Cost %,7.83%,6.99%,6.05%,7.64%,7.96%,6.82%,6.65%
  └─ Employee Cost %,21.27%,15.16%,16.00%,23.37%,22.56%,17.65%,13.27%
Operating Profit,20.98,35.46,52.39,21.38,11.03,54.71,43.67
OPM %,27.76%,32.15%,48.48%,26.57%,14.33%,47.69%,37.84%
Other Income,-0.00,0.05,0.56,46.76,6.15,-5.25,-13.05
  └─ Exceptional items,0.00,0.00,0.00,41.58,-1.21,-5.50,-15.68
  └─ Other income normal,0.00,0.05,0.56,5.18,7.36,0.25,2.63
Interest,15.86,15.67,14.47,13.64,13.24,13.29,11.19
Depreciation,6.32,6.98,6.47,7.38,6.74,7.52,7.89
Profit before tax,-1.20,12.86,32.01,47.12,-2.80,28.65,11.54
Tax %,821.67%,11.51%,27.27%,31.01%,-56.79%,-6.25%,68.28%
Net Profit,-11.06,11.37,23.28,32.51,-1.21,30.44,3.67
  └─ Minority share,0,-1,1,0,2,-2,-1
  └─ Exceptional items AT,0,0,0,29,0,-5,-8
  └─ Profit excl Excep,-11,11,23,4,-1,35,11
  └─ Profit for PE,-11,10,24,4,0,33,9
  └─ Profit for EPS,-11,10,24,33,0,28,3
  └─ YOY Profit Growth %,,,,,102%,220%,-62%
EPS in Rs,-5290.00,5175.00,11900.00,16255.00,0.06,5.28,0.53
Raw PDF,,,,,,,
