Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,11.03,15.45,21.73,28.38
Expenses,9.48,12.92,18.53,24.66
  └─ Material Cost %,69%,65%,67%,70%
  └─ Employee Cost %,8%,7%,6%,6%
Operating Profit,1.55,2.53,3.20,3.72
OPM %,14.05%,16.38%,14.73%,13.11%
Other Income,0.07,0.10,0.11,0.27
  └─ Other income normal,0.07,0.10,0.11,0.27
Interest,0.14,0.35,0.45,0.36
Depreciation,0.13,0.16,0.22,0.22
Profit before tax,1.35,2.12,2.64,3.41
Tax %,25.19%,30.66%,26.52%,28.15%
Net Profit,1.01,1.48,1.95,2.46
  └─ Profit excl Excep,1.01,1.48,1.95,2.46
  └─ Profit for PE,1.01,1.48,1.95,2.46
  └─ Profit for EPS,1.01,1.48,1.95,2.46
EPS in Rs,2.63,3.85,4.49,5.67
Raw PDF,,,,
