Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,258.76,387.64,302.73,236.84,322.09,371.07,268.25,258.86,305.42,347.95,279.49,162.05,223.50
  └─ YOY Sales Growth %,1.44%,-15.30%,-3.98%,5.85%,24.47%,-4.27%,-11.39%,9.30%,-5.18%,-6.23%,4.19%,-37.40%,-26.82%
Expenses,248.74,340.05,309.19,266.97,310.81,337.23,272.20,290.46,291.80,299.11,283.82,170.57,223.32
  └─ Material Cost %,71%,66%,85%,91%,77%,70%,83%,96%,77%,69%,87%,85%,78%
  └─ Employee Cost %,7%,7%,6%,10%,6%,6%,6%,6%,6%,6%,5%,9%,9%
Operating Profit,10.02,47.59,-6.46,-30.13,11.28,33.84,-3.95,-31.60,13.62,48.84,-4.33,-8.52,0.18
OPM %,3.87%,12.28%,-2.13%,-12.72%,3.50%,9.12%,-1.47%,-12.21%,4.46%,14.04%,-1.55%,-5.26%,0.08%
Other Income,4.23,-20.59,4.43,4.45,4.41,4.94,6.06,5.43,2.86,5.57,4.37,5.43,4.23
  └─ Exceptional items,0.00,-12.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,4.23,-8.19,4.43,4.45,4.41,4.94,6.06,5.43,2.86,5.57,4.37,5.43,4.23
Interest,6.32,24.43,6.41,6.39,5.72,6.95,6.75,6.92,7.12,10.48,6.75,0.13,0.00
Depreciation,8.14,18.19,7.92,8.05,8.05,7.95,6.90,6.98,6.92,6.78,6.94,7.02,7.02
Profit before tax,-0.21,-15.62,-16.36,-40.12,1.92,23.88,-11.54,-40.07,2.44,37.15,-13.65,-10.24,-2.61
Tax %,71.43%,7.55%,0.12%,0.00%,0.00%,0.63%,-2.69%,-0.45%,0.00%,1.64%,7.99%,0.00%,0.00%
Net Profit,-0.37,-16.81,-16.38,-40.12,1.93,23.74,-11.23,-39.89,2.43,36.54,-14.74,-10.24,-2.61
  └─ Minority share,-0,6,-0,0,0,-0,0,0,0,-0,1,0,-0
  └─ Exceptional items AT,0,-11,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,-5,-16,-40,2,24,-11,-40,2,37,-15,-10,-3
  └─ Profit for PE,-0,-3,-16,-40,2,24,-11,-40,2,36,-14,-10,-3
  └─ Profit for EPS,-0,-10,-16,-40,2,24,-11,-40,2,36,-14,-10,-3
  └─ YOY Profit Growth %,79%,-139%,-253%,-64%,549%,821%,32%,1%,26%,53%,-28%,74%,-208%
EPS in Rs,-0.10,-2.50,-3.97,-9.72,0.47,5.75,-2.69,-9.64,0.59,8.80,-3.44,-2.46,-0.63
Raw PDF,,,,,,,,,,,,,
