Metric,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,14,18,26,23,30,35,50,75,82,129
Expenses,13,15,23,18,23,26,36,60,61,90
  └─ Material Cost %,68.08%,59.53%,61.80%,55.57%,55.63%,52.04%,47.04%,53.79%,51.45%,47.68%
  └─ Employee Cost %,7.29%,6.49%,6.51%,7.85%,7.62%,9.10%,12.22%,8.94%,12.14%,9.00%
Operating Profit,2,2,3,5,8,9,14,15,20,39
OPM %,11%,13%,11%,21%,26%,26%,28%,20%,25%,30%
Other Income,0,0,0,0,0,1,1,2,1,2
  └─ Other income normal,0.01,0.03,0.09,0.17,0.43,0.66,1.17,2.32,1.46,1.98
Interest,0,0,0,0,0,0,2,0,1,2
Depreciation,0,0,0,0,0,0,1,1,1,3
Profit before tax,1,2,3,5,8,9,12,16,20,36
Tax %,23%,25%,25%,30%,25%,27%,29%,14%,21%,32%
Net Profit,1,2,2,3,6,7,8,14,16,25
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,-0.15,0.39,0.00,0.00
  └─ Profit excl Excep,1.04,1.61,2.00,3.28,6.00,6.80,8.43,13.99,16.02,24.88
  └─ Profit for PE,1.04,1.61,2.00,3.28,6.00,6.80,8.28,14.38,16.02,24.88
  └─ Profit for EPS,1.04,1.61,2.00,3.28,6.00,6.80,8.28,14.38,16.02,24.88
EPS in Rs,34.67,53.67,2.99,3.60,6.59,7.08,8.62,14.24,15.86,23.96
Raw PDF,,,,,,,,,,
