Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,5.44,6.88,8.20,9.89,8.74,9.50,3.12,6.48,4.86,6.65,5.85,9.56,7.73
  └─ YOY Sales Growth %,32%,50%,45%,68%,61%,38%,-62%,-34%,-44%,-30%,88%,48%,59%
Expenses,5.82,7.11,7.92,9.00,8.59,11.27,4.92,7.06,6.76,8.30,7.42,9.47,9.54
  └─ Employee Cost %,44.30%,39.97%,40.49%,34.78%,37.76%,32.21%,76.28%,35.03%,50.62%,41.20%,44.79%,24.69%,38.94%
Operating Profit,-0.38,-0.23,0.28,0.89,0.15,-1.77,-1.80,-0.58,-1.90,-1.65,-1.57,0.09,-1.81
OPM %,-6.99%,-3.34%,3.41%,9.00%,1.72%,-18.63%,-57.69%,-8.95%,-39.09%,-24.81%,-26.84%,0.94%,-23.42%
Other Income,0.82,1.00,0.52,0.47,0.51,0.49,0.25,0.26,0.22,-0.08,0.22,0.25,0.22
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00
  └─ Other income normal,0.82,1.00,0.52,0.47,0.51,0.49,0.25,0.26,0.22,1.02,0.22,0.25,0.22
Interest,0.31,0.29,0.33,0.48,0.36,0.28,0.08,0.20,0.08,0.13,0.07,0.18,0.15
Depreciation,0.11,0.05,0.14,0.20,0.19,0.29,0.25,0.32,0.32,0.30,0.30,0.30,0.31
Profit before tax,0.02,0.43,0.33,0.68,0.11,-1.85,-1.88,-0.84,-2.08,-2.16,-1.72,-0.14,-2.05
Tax %,-50.00%,6.98%,30.30%,38.24%,90.91%,-36.22%,-31.38%,-34.52%,-31.25%,-13.89%,-31.40%,-28.57%,-30.73%
Net Profit,0.03,0.40,0.22,0.42,0.01,-1.18,-1.30,-0.56,-1.42,-1.86,-1.18,-0.10,-1.42
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.10,0.00,0.00,0.00
  └─ Profit excl Excep,0.03,0.40,0.22,0.42,0.01,-1.18,-1.30,-0.56,-1.42,-0.76,-1.18,-0.10,-1.42
  └─ Profit for PE,0.03,0.40,0.22,0.42,0.01,-1.18,-1.30,-0.56,-1.42,-0.76,-1.18,-0.10,-1.42
  └─ Profit for EPS,0.03,0.40,0.22,0.42,0.01,-1.18,-1.30,-0.56,-1.42,-1.86,-1.18,-0.10,-1.42
  └─ YOY Profit Growth %,100.81%,176.92%,156.41%,425.00%,-66.67%,-395.00%,-690.91%,-233.33%,-14300.00%,35.59%,9.23%,82.14%,0.00%
EPS in Rs,0.03,0.35,0.19,0.36,0.01,-1.02,-1.12,-0.48,-1.23,-1.61,-1.02,-0.09,-1.23
Raw PDF,,,,,,,,,,,,,
