Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,102,108,124,134,124,126,139,136
  └─ YOY Sales Growth %,,,,,21.96%,16.42%,11.59%,1.70%
Expenses,69,71,81,84,83,89,91,88
  └─ Material Cost %,9.73%,9.62%,9.55%,9.39%,9.56%,8.91%,9.56%,8.12%
  └─ Employee Cost %,18.98%,19.43%,18.70%,16.97%,19.85%,20.00%,19.08%,20.22%
Operating Profit,33,37,43,50,41,37,47,49
OPM %,33%,35%,35%,38%,33%,30%,34%,36%
Other Income,0,0,1,1,1,4,4,9
  └─ Other income normal,0.40,0.45,0.55,1.03,0.87,4.08,4.16,9.30
Interest,18,18,17,19,19,14,9,10
Depreciation,10,11,14,14,13,14,13,14
Profit before tax,5,9,13,18,10,14,29,34
Tax %,219%,25%,24%,27%,26%,25%,25%,26%
Net Profit,-6,7,10,13,7,11,22,25
  └─ Minority share,1,-1,-1,-2,-1,-2,-2,-2
  └─ Profit excl Excep,-6,7,10,13,7,11,22,25
  └─ Profit for PE,-5,5,8,11,6,9,20,23
  └─ Profit for EPS,-5,5,8,11,6,9,20,23
  └─ YOY Profit Growth %,,,,,226%,69%,140%,102%
EPS in Rs,-0.17,0.19,0.30,0.40,0.22,0.24,0.53,0.60
Raw PDF,,,,,,,,
