Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.49,28.42,20.12,43.69,10.60,19.74,29.51,60.20
  └─ YOY Sales Growth %,,,,,203.72%,-30.54%,46.67%,37.79%
Expenses,2.87,25.52,18.14,41.57,9.49,17.20,26.65,55.53
  └─ Material Cost %,-12.03%,28.18%,-6.21%,14.67%,-10.66%,22.19%,29.48%,38.84%
  └─ Employee Cost %,15.47%,1.90%,3.88%,1.51%,6.70%,3.29%,2.98%,1.64%
Operating Profit,0.62,2.90,1.98,2.12,1.11,2.54,2.86,4.67
OPM %,17.77%,10.20%,9.84%,4.85%,10.47%,12.87%,9.69%,7.76%
Other Income,0.15,0.17,0.05,-0.17,0.44,-0.28,-0.02,0.06
  └─ Other income normal,0.15,0.17,0.05,-0.17,0.44,-0.28,-0.02,0.06
Interest,0.34,0.49,0.47,0.98,0.41,0.35,0.53,0.24
Depreciation,0.15,0.16,0.19,0.30,0.25,0.27,0.27,0.32
Profit before tax,0.28,2.42,1.37,0.67,0.89,1.64,2.04,4.17
Tax %,25.00%,25.21%,24.82%,26.87%,24.72%,36.59%,16.18%,26.14%
Net Profit,0.20,1.81,1.03,0.49,0.66,1.04,1.71,3.08
  └─ Profit excl Excep,0,2,1,0,1,1,2,3
  └─ Profit for PE,0,2,1,0,1,1,2,3
  └─ Profit for EPS,0,2,1,0,1,1,2,3
  └─ YOY Profit Growth %,,,,,230%,-43%,66%,529%
EPS in Rs,0.02,0.16,0.09,0.04,0.06,0.09,0.14,0.25
Raw PDF,,,,,,,,
