Metric,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021
Sales,137.28,30.12,17.80,13.75,16.37,12.64,20.69,13.81,39.49,18.05,19.56
  └─ YOY Sales Growth %,,,,,-88.08%,-58.03%,16.24%,0.44%,141.23%,42.80%,-5.46%
Expenses,144.74,35.02,27.17,22.42,37.10,13.10,20.65,11.08,29.34,14.85,16.01
  └─ Material Cost %,72%,91%,66%,90%,88%,64%,61%,29%,53%,51%,54%
  └─ Employee Cost %,8%,9%,17%,24%,38%,13%,11%,15%,19%,15%,17%
Operating Profit,-7.46,-4.90,-9.37,-8.67,-20.73,-0.46,0.04,2.73,10.15,3.20,3.55
OPM %,-5.43%,-16.27%,-52.64%,-63.05%,-126.63%,-3.64%,0.19%,19.77%,25.70%,17.73%,18.15%
Other Income,2.33,18.20,2.56,-0.34,0.05,0.10,0.54,3.84,0.69,0.50,0.09
  └─ Exceptional items,0.00,0.00,0.00,-1.60,0.00,0.00,0.00,2.60,0.00,0.00,0.00
  └─ Other income normal,2.33,18.20,2.56,1.26,0.05,0.10,0.54,1.24,0.69,0.50,0.09
Interest,8.50,2.68,2.49,2.98,1.51,2.37,2.55,2.26,2.94,2.08,2.06
Depreciation,6.41,1.66,1.72,1.24,2.52,1.14,1.62,1.63,1.63,1.45,1.46
Profit before tax,-20.04,8.96,-11.02,-13.23,-24.71,-3.87,-3.59,2.68,6.27,0.17,0.12
Tax %,-20.61%,-25.00%,-39.93%,-15.04%,-11.33%,-28.17%,-24.79%,20.52%,29.98%,41.18%,33.33%
Net Profit,-15.91,11.20,-6.63,-11.24,-21.91,-2.78,-2.69,2.14,4.40,0.10,0.08
  └─ Exceptional items AT,0,0,0,-2,0,0,0,2,0,0,0
  └─ Profit excl Excep,-16,11,-7,-10,-22,-3,-3,0,4,0,0
  └─ Profit for PE,-16,11,-7,-10,-22,-3,-3,0,4,0,0
  └─ Profit for EPS,-16,11,-7,-11,-22,-3,-3,2,4,0,0
  └─ YOY Profit Growth %,,,,,-38%,-125%,59%,101%,120%,104%,103%
EPS in Rs,-25.95,18.27,-10.81,-18.33,-35.74,-4.53,-4.39,3.49,7.18,0.16,0.13
Raw PDF,,,,,,,,,,,
