Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,23625,23280,26023,29038,32041,31480,33704,32042,36595,35439,37403,39708,38494
  └─ YOY Sales Growth %,25.25%,46.52%,25.09%,33.48%,35.62%,35.22%,29.52%,10.34%,14.21%,12.58%,10.98%,23.93%,5.19%
Expenses,15470,13935,16073,18601,21108,19655,21420,19669,23868,21124,23352,25842,23983
  └─ Employee Cost %,10.80%,10.48%,9.40%,9.17%,8.77%,9.19%,8.93%,9.42%,8.60%,9.01%,9.05%,8.98%,10.34%
Operating Profit,8154,9345,9950,10438,10933,11825,12283,12373,12728,14315,14050,13866,14511
OPM %,35%,40%,38%,36%,34%,38%,36%,39%,35%,40%,38%,35%,38%
Other Income,2,3,0,2,4,3,3,3,10,13,3,-378,25
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-379.49,0.00
  └─ Other income normal,2.20,2.80,0.21,1.75,4.42,2.62,3.45,3.10,10.10,12.88,3.20,1.70,25.29
Interest,3436,4020,4449,4777,5154,5592,6046,6276,6396,6807,6901,7232,7291
Depreciation,181,202,209,232,257,267,275,288,339,317,327,330,317
Profit before tax,4540,5125,5292,5431,5527,5968,5966,5812,6002,7204,6825,5926,6928
Tax %,27%,28%,29%,26%,26%,29%,30%,24%,21%,26%,30%,26%,25%
Net Profit,3335,3709,3756,4045,4085,4209,4180,4412,4756,5329,4746,4368,5226
  └─ Minority share,-1566,-1767,-1827,-1888,-1966,-2072,-2093,-2181,-2340,-2540,-2502,-2138,-2688
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-261,0
  └─ Profit excl Excep,3335,3709,3756,4045,4085,4209,4180,4412,4756,5329,4746,4628,5226
  └─ Profit for PE,1769,1943,1929,2158,2119,2138,2087,2231,2417,2789,2244,2362,2539
  └─ Profit for EPS,1769,1943,1929,2158,2119,2138,2087,2231,2417,2789,2244,2229,2539
  └─ YOY Profit Growth %,31%,48%,24%,21%,20%,10%,8%,3%,14%,30%,8%,6%,5%
EPS in Rs,11.11,12.20,12.09,13.52,13.28,13.39,13.07,13.97,15.14,17.46,14.04,13.95,15.86
Raw PDF,,,,,,,,,,,,,
