Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,5.09,1.55,2.43,2.30,3.79,4.60,1.98,1.95,1.59,1.11,0.87,0.66,1.12
  └─ YOY Sales Growth %,-16.83%,-37.25%,-1.62%,-18.44%,-25.54%,196.77%,-18.52%,-15.22%,-58.05%,-75.87%,-56.06%,-66.15%,-29.56%
Expenses,2.83,2.31,1.92,1.97,1.59,1.55,1.76,1.74,1.12,1.12,0.74,1.07,0.87
  └─ Material Cost %,13.56%,43.87%,27.98%,26.52%,7.12%,4.35%,20.20%,25.13%,3.14%,23.42%,12.64%,45.45%,24.11%
  └─ Employee Cost %,9.04%,24.52%,9.05%,8.70%,7.39%,5.65%,8.08%,7.69%,8.81%,13.51%,13.79%,15.15%,8.93%
Operating Profit,2.26,-0.76,0.51,0.33,2.20,3.05,0.22,0.21,0.47,-0.01,0.13,-0.41,0.25
OPM %,44.40%,-49.03%,20.99%,14.35%,58.05%,66.30%,11.11%,10.77%,29.56%,-0.90%,14.94%,-62.12%,22.32%
Other Income,0.17,0.18,0.14,0.15,0.19,0.18,0.19,0.17,0.16,-0.24,0.15,0.09,0.09
  └─ Other income normal,0.17,0.18,0.14,0.15,0.19,0.18,0.19,0.17,0.16,-0.24,0.15,0.09,0.09
Interest,0.12,0.11,0.12,0.11,0.14,0.10,0.14,0.12,0.12,0.13,0.09,0.12,0.15
Depreciation,0.14,0.12,0.13,0.13,0.16,0.11,0.12,0.12,0.12,0.27,0.11,0.11,0.11
Profit before tax,2.17,-0.81,0.40,0.24,2.09,3.02,0.15,0.14,0.39,-0.65,0.08,-0.55,0.08
Tax %,13.82%,17.28%,35.00%,16.67%,25.36%,29.47%,40.00%,14.29%,10.26%,-7.69%,37.50%,-7.27%,-37.50%
Net Profit,1.86,-0.95,0.26,0.20,1.55,2.13,0.09,0.12,0.35,-0.60,0.05,-0.51,0.10
  └─ Profit excl Excep,2,-1,0,0,2,2,0,0,0,-1,0,-1,0
  └─ Profit for PE,2,-1,0,0,2,2,0,0,0,-1,0,-1,0
  └─ Profit for EPS,2,-1,0,0,2,2,0,0,0,-1,0,-1,0
  └─ YOY Profit Growth %,-36%,19%,425%,-57%,-17%,324%,-65%,-40%,-77%,-128%,-44%,-525%,-71%
EPS in Rs,1.80,-0.92,0.25,0.19,1.50,2.06,0.09,0.12,0.34,-0.58,0.05,-0.49,0.10
Raw PDF,,,,,,,,,,,,,
