Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,27.12,31.08,32.21,45.48,42.55
Expenses,22.46,24.71,27.85,38.83,36.23
  └─ Material Cost %,3.28%,11.68%,-4.63%,2.84%,4.07%
  └─ Employee Cost %,12.83%,12.87%,12.57%,18.67%,11.42%
Operating Profit,4.66,6.37,4.36,6.65,6.32
OPM %,17.18%,20.50%,13.54%,14.62%,14.85%
Other Income,0.52,0.77,0.58,0.19,0.55
  └─ Exceptional items,0.01,0.00,0.00,0.00,0.00
  └─ Other income normal,0.51,0.77,0.58,0.19,0.55
Interest,0.23,0.06,0.26,0.40,0.59
Depreciation,0.29,0.37,0.39,0.44,0.47
Profit before tax,4.66,6.71,4.29,6.00,5.81
Tax %,2.36%,25.04%,18.88%,15.17%,24.44%
Net Profit,4.55,5.03,3.48,5.09,4.38
  └─ Profit excl Excep,4.55,5.03,3.48,5.09,4.38
  └─ Profit for PE,4.55,5.03,3.48,5.09,4.38
  └─ Profit for EPS,4.55,5.03,3.48,5.09,4.38
EPS in Rs,2.00,2.21,1.53,2.24,1.93
Raw PDF,,,,,
