Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.29,12.58,12.57,11.94,49.66,63.92,68.52
  └─ YOY Sales Growth %,,,,,248%,408%,445%
Expenses,18.22,13.23,9.62,9.66,46.94,61.25,71.63
  └─ Employee Cost %,18.05%,19.08%,17.10%,20.02%,21.37%,28.14%,28.17%
Operating Profit,-3.93,-0.65,2.95,2.28,2.72,2.67,-3.11
OPM %,-27.50%,-5.17%,23.47%,19.10%,5.48%,4.18%,-4.54%
Other Income,5.07,-7.68,4.74,4.61,0.81,7.28,10.64
  └─ Exceptional items,0.00,-12.60,0.00,0.00,0.00,-0.86,0.00
  └─ Other income normal,5.07,4.92,4.74,4.61,0.81,8.14,10.64
Interest,0.86,0.76,0.70,0.57,0.57,7.76,4.06
Depreciation,0.18,0.50,0.27,0.22,0.81,1.77,1.13
Profit before tax,0.10,-9.59,6.72,6.10,2.15,0.42,2.34
Tax %,-60.00%,-39.21%,57.14%,26.07%,107.44%,4.76%,179.49%
Net Profit,0.17,-5.83,2.87,4.51,-0.16,0.40,-1.86
  └─ Minority share,0,0,0,0,2,-0,-0
  └─ Exceptional items AT,0,-13,0,0,0,-0,0
  └─ Profit excl Excep,0,7,3,5,-0,1,-2
  └─ Profit for PE,0,7,3,5,2,0,-2
  └─ Profit for EPS,0,-6,3,5,2,0,-2
  └─ YOY Profit Growth %,,,,,900%,-93%,-172%
EPS in Rs,0.01,-0.24,0.12,0.18,0.07,0.01,-0.08
Raw PDF,,,,,,,
