Metric,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009
Sales,3.02,3.24,2.69,3.94,2.10,2.73,2.15,2.77,3.14
  └─ YOY Sales Growth %,,,,,-30.46%,-15.74%,-20.07%,-29.70%,49.52%
Expenses,5.28,5.41,4.01,3.75,3.54,3.20,2.95,2.85,2.98
  └─ Employee Cost %,68.54%,89.51%,77.32%,46.95%,86.19%,61.54%,60.93%,15.52%,35.67%
Operating Profit,-2.26,-2.17,-1.32,0.19,-1.44,-0.47,-0.80,-0.08,0.16
OPM %,-74.83%,-66.98%,-49.07%,4.82%,-68.57%,-17.22%,-37.21%,-2.89%,5.10%
Other Income,0.17,0.37,0.24,0.56,0.41,0.67,0.41,0.29,0.19
  └─ Other income normal,0.17,0.37,0.24,0.56,0.41,0.67,0.41,0.29,0.19
Interest,0.00,0.00,0.02,0.06,0.06,0.06,0.08,0.09,0.09
Depreciation,0.12,0.19,0.15,0.16,0.15,0.15,0.12,0.16,0.12
Profit before tax,-2.21,-1.99,-1.25,0.53,-1.24,-0.01,-0.59,-0.04,0.14
Tax %,47.96%,24.62%,-2.40%,79.25%,50.81%,4900.00%,10.17%,25.00%,7.14%
Net Profit,-3.30,-2.54,-1.23,0.08,-1.89,-0.52,-0.65,-0.05,0.13
  └─ Minority share,-0,-0,-0,-0,-0,-0,-0,0,-0
  └─ Profit excl Excep,-3,-3,-1,0,-2,-1,-1,-0,0
  └─ Profit for PE,-3,-3,-1,0,-2,-1,-1,-0,0
  └─ Profit for EPS,-3,-3,-1,0,-2,-1,-1,-0,0
  └─ YOY Profit Growth %,,,,,43%,80%,47%,-150%,107%
EPS in Rs,,,,,,,,,
Raw PDF,,,,,,,,,
