Metric,Dec 2025,Mar 2026
Revenue,461,607
Interest,247,284
Expenses,182,248
  └─ Employee Cost %,16.76%,14.97%
Financing Profit,32,75
Financing Margin %,7%,12%
Other Income,45,25
  └─ Other income normal,45.29,25.15
Depreciation,14,29
Profit before tax,63,71
Tax %,27%,28%
Net Profit,46,51
  └─ Profit excl Excep,46,51
  └─ Profit for PE,46,51
  └─ Profit for EPS,46,51
EPS in Rs,2.99,3.29
Gross NPA %,,
Net NPA %,,
Raw PDF,,
