Metric,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2021,Sep 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023
Sales,37.62,30.90,32.45,31.86,36.69,52.55,62.20,61.66,60.17,57.16,54.53,55.76,59.32
  └─ YOY Sales Growth %,,,,-17.55%,,,,68.06%,14.50%,,-12.33%,-9.57%,-1.41%
Expenses,34.82,30.57,28.91,28.80,31.91,46.64,53.11,53.87,54.63,52.03,45.33,46.10,52.52
  └─ Material Cost %,72%,65%,66%,64%,66%,70%,66%,69%,71%,70%,59%,62%,62%
  └─ Employee Cost %,8%,9%,10%,11%,9%,7%,7%,7%,7%,7%,9%,8%,13%
Operating Profit,2.80,0.33,3.54,3.06,4.78,5.91,9.09,7.79,5.54,5.13,9.20,9.66,6.80
OPM %,7.44%,1.07%,10.91%,9.60%,13.03%,11.25%,14.61%,12.63%,9.21%,8.97%,16.87%,17.32%,11.46%
Other Income,0.39,0.27,0.17,0.32,0.35,0.31,0.46,0.33,0.80,1.38,0.86,0.78,1.20
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,-0.01
  └─ Other income normal,0.39,0.27,0.17,0.32,0.35,0.31,0.46,0.33,0.85,1.38,0.86,0.78,1.21
Interest,0.68,0.61,0.63,0.51,0.11,0.12,0.14,0.18,0.17,0.30,0.30,0.29,0.27
Depreciation,1.03,0.73,0.73,0.74,0.71,0.74,0.73,0.73,0.77,0.81,0.80,0.84,0.90
Profit before tax,1.48,-0.74,2.35,2.13,4.31,5.36,8.68,7.21,5.40,5.40,8.96,9.31,6.83
Tax %,41.89%,-17.57%,23.40%,29.58%,27.84%,24.07%,26.04%,26.07%,24.26%,26.67%,26.79%,25.56%,25.92%
Net Profit,0.87,-0.61,1.80,1.50,3.10,4.07,6.42,5.33,4.09,3.95,6.57,6.93,5.07
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,-0.01
  └─ Profit excl Excep,0.87,-0.61,1.80,1.50,3.10,4.07,6.42,5.33,4.13,3.95,6.57,6.93,5.08
  └─ Profit for PE,0.87,-0.61,1.80,1.50,3.10,4.07,6.42,5.33,4.13,3.95,6.57,6.93,5.08
  └─ Profit for EPS,0.87,-0.61,1.80,1.50,3.10,4.07,6.42,5.33,4.09,3.95,6.57,6.93,5.07
  └─ YOY Profit Growth %,,,,-46.43%,,,,71.94%,1.47%,,2.34%,30.02%,23.00%
EPS in Rs,0.77,-0.54,1.59,1.33,2.74,3.60,5.68,4.72,3.62,3.50,5.81,6.13,4.49
Raw PDF,,,,,,,,,,,,,
