Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,296,313,358,352,412,476,514
  └─ YOY Sales Growth %,,,,,39.19%,51.73%,43.49%
Expenses,234,244,286,273,318,367,395
  └─ Material Cost %,26.74%,31.53%,31.16%,29.20%,30.71%,33.07%,32.94%
  └─ Employee Cost %,17.32%,17.21%,15.79%,16.51%,15.38%,13.96%,13.30%
Operating Profit,62,70,72,79,94,108,119
OPM %,21%,22%,20%,22%,23%,23%,23%
Other Income,3,0,0,1,1,4,3
  └─ Other income normal,2.66,0.49,0.10,0.63,0.70,3.79,2.61
Interest,7,8,12,11,11,10,10
Depreciation,8,9,10,10,12,12,12
Profit before tax,49,53,51,60,72,91,99
Tax %,30%,28%,29%,27%,25%,20%,22%
Net Profit,34,38,36,43,54,73,77
  └─ Profit excl Excep,34,38,36,43,54,73,77
  └─ Profit for PE,34,38,36,43,54,73,77
  └─ Profit for EPS,34,38,36,43,54,73,77
  └─ YOY Profit Growth %,,,,,56%,91%,112%
EPS in Rs,2.27,2.50,2.35,2.81,3.49,4.42,4.66
Raw PDF,,,,,,,
