Metric,Sep 2019,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025
Sales,2.29,2.73,2.67,3.63,5.54,4.40,4.74,3.36,2.42,2.22,2.59,3.22,2.15
Expenses,1.99,2.80,2.55,3.31,4.18,4.24,4.16,3.31,2.54,2.13,2.66,3.07,2.68
  └─ Employee Cost %,70%,71%,77%,72%,55%,62%,46%,42%,38%,46%,49%,40%,76%
Operating Profit,0.30,-0.07,0.12,0.32,1.36,0.16,0.58,0.05,-0.12,0.09,-0.07,0.15,-0.53
OPM %,13.10%,-2.56%,4.49%,8.82%,24.55%,3.64%,12.24%,1.49%,-4.96%,4.05%,-2.70%,4.66%,-24.65%
Other Income,0.00,0.05,0.01,0.02,0.00,0.08,0.02,0.06,0.04,0.05,0.00,0.02,0.00
  └─ Other income normal,0.00,0.05,0.01,0.02,0.00,0.08,0.02,0.06,0.04,0.05,0.00,0.02,0.00
Interest,0.15,0.15,0.28,-0.02,0.12,0.11,0.09,0.08,0.05,0.12,0.12,0.11,0.11
Depreciation,0.06,0.06,0.04,0.04,0.03,0.04,0.03,0.03,0.02,0.04,0.02,0.02,0.02
Profit before tax,0.09,-0.23,-0.19,0.32,1.21,0.09,0.48,0.00,-0.15,-0.02,-0.21,0.04,-0.66
Tax %,33.33%,13.04%,0.00%,6.25%,21.49%,22.22%,25.00%,,13.33%,-50.00%,0.00%,0.00%,0.00%
Net Profit,0.06,-0.26,-0.19,0.29,0.95,0.07,0.36,-0.02,-0.18,0.00,-0.21,0.04,-0.66
  └─ Profit excl Excep,0.06,-0.26,-0.19,0.29,0.95,0.07,0.36,-0.02,-0.18,0.00,-0.21,0.04,-0.66
  └─ Profit for PE,0.06,-0.26,-0.19,0.29,0.95,0.07,0.36,-0.02,-0.18,0.00,-0.21,0.04,-0.66
  └─ Profit for EPS,0.06,-0.26,-0.19,0.29,0.95,0.07,0.36,-0.02,-0.18,0.00,-0.21,0.04,-0.66
EPS in Rs,300.00,-0.25,-0.18,0.27,0.90,0.07,0.34,-0.02,-0.17,0.00,-0.20,0.04,-0.62
Raw PDF,,,,,,,,,,,,,
