Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,13,15,18,31,30,74
Expenses,7,10,9,19,16,59
  └─ Material Cost %,10%,16%,13%,27%,20%,60%
  └─ Employee Cost %,15%,12%,12%,8%,9%,5%
Operating Profit,6,5,9,12,14,16
OPM %,44%,32%,51%,38%,46%,21%
Other Income,0,0,0,0,1,1
  └─ Other income normal,0.06,0.24,0.08,0.26,0.71,0.56
Interest,1,0,0,0,0,0
Depreciation,3,0,2,2,2,2
Profit before tax,2,5,7,10,13,14
Tax %,2%,-25%,7%,7%,5%,6%
Net Profit,2,6,7,9,12,13
  └─ Profit excl Excep,2.01,5.75,6.77,8.89,12.11,12.98
  └─ Profit for PE,2.01,5.75,6.77,8.89,12.11,12.98
  └─ Profit for EPS,2.01,5.75,6.77,8.89,12.11,12.98
EPS in Rs,2.61,7.47,8.79,10.27,13.98,14.99
Raw PDF,,,,,,
