Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,43.22,29.62,37.59,26.22,36.14
Expenses,32.55,22.47,32.27,19.81,42.48
  └─ Material Cost %,58%,59%,65%,41%,78%
  └─ Employee Cost %,6%,8%,12%,16%,16%
Operating Profit,10.67,7.15,5.32,6.41,-6.34
OPM %,24.69%,24.14%,14.15%,24.45%,-17.54%
Other Income,0.16,0.03,0.70,-2.32,7.61
  └─ Exceptional items,0.00,0.00,0.00,-2.59,0.00
  └─ Other income normal,0.16,0.03,0.70,0.27,7.61
Interest,0.53,0.37,0.44,0.27,0.41
Depreciation,0.75,1.50,1.94,2.02,2.98
Profit before tax,9.55,5.31,3.64,1.80,-2.12
Tax %,32.57%,25.24%,20.88%,7.78%,17.45%
Net Profit,6.44,3.97,2.83,1.12,-5.40
  └─ Profit from Associates,0.00,0.00,-0.05,-0.54,-2.90
  └─ Exceptional items AT,0.00,0.00,0.00,-2.18,0.00
  └─ Profit excl Excep,6.44,3.97,2.83,3.30,-5.40
  └─ Profit for PE,6.44,3.97,2.83,3.30,-5.40
  └─ Profit for EPS,6.44,3.97,2.83,1.12,-5.40
EPS in Rs,,,,1.09,-5.26
Raw PDF,,,,,
