Metric,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018
Sales,32.39,28.46,28.42,27.50,32.79,33.04,34.38,35.90,39.26,43.13,43.82,42.14,43.11
  └─ YOY Sales Growth %,8.22%,-4.11%,-9.03%,-9.21%,1.23%,16.09%,20.97%,30.55%,19.73%,30.54%,27.46%,17.38%,9.81%
Expenses,30.36,27.62,26.91,28.05,30.79,27.79,29.75,33.24,34.55,37.04,36.60,34.07,32.59
  └─ Employee Cost %,43.38%,47.86%,42.93%,48.62%,39.80%,35.68%,34.26%,34.79%,35.81%,32.88%,30.24%,33.55%,32.06%
Operating Profit,2.03,0.84,1.51,-0.55,2.00,5.25,4.63,2.66,4.71,6.09,7.22,8.07,10.52
OPM %,6.27%,2.95%,5.31%,-2.00%,6.10%,15.89%,13.47%,7.41%,12.00%,14.12%,16.48%,19.15%,24.40%
Other Income,1.89,1.88,2.19,1.78,2.56,0.30,0.70,0.71,0.56,0.58,0.78,0.92,0.97
  └─ Other income normal,1.89,1.88,2.19,1.78,2.56,0.30,0.70,0.71,0.56,0.58,0.78,0.92,0.97
Interest,1.22,1.35,2.15,1.63,1.20,1.71,0.89,1.36,2.20,2.54,4.13,5.93,7.49
Depreciation,0.98,0.96,0.93,0.88,0.74,0.84,0.69,0.61,0.56,0.53,0.48,0.49,0.50
Profit before tax,1.72,0.41,0.62,-1.28,2.62,3.00,3.75,1.40,2.51,3.60,3.39,2.57,3.50
Tax %,0.00%,0.00%,109.68%,0.00%,0.00%,0.00%,21.60%,8.57%,42.63%,20.83%,32.45%,21.79%,32.29%
Net Profit,1.71,0.42,-0.06,-1.28,2.61,3.00,2.95,1.28,1.45,2.85,2.29,2.02,2.36
  └─ Profit excl Excep,2,0,-0,-1,3,3,3,1,1,3,2,2,2
  └─ Profit for PE,2,0,-0,-1,3,3,3,1,1,3,2,2,2
  └─ Profit for EPS,2,0,-0,-1,3,3,3,1,1,3,2,2,2
  └─ YOY Profit Growth %,-20%,-45%,-106%,-202%,53%,614%,5017%,200%,-44%,-5%,-22%,58%,63%
EPS in Rs,0.31,0.08,-0.01,-0.23,0.47,0.54,0.53,0.23,0.26,0.51,0.41,0.36,0.42
Raw PDF,,,,,,,,,,,,,
