Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales,117,124,126,133,146,144,146,139,131,161,133,172,163
  └─ YOY Sales Growth %,-8.54%,-0.10%,0.75%,-1.05%,25.10%,16.54%,15.68%,4.84%,-10.38%,11.58%,-8.28%,23.38%,24.46%
Expenses,120,118,119,119,133,127,124,121,120,141,120,142,139
  └─ Material Cost %,64.85%,61.38%,60.72%,55.87%,58.12%,52.85%,48.68%,50.52%,50.54%,50.88%,46.36%,49.02%,46.17%
  └─ Employee Cost %,18.39%,15.83%,15.24%,15.57%,14.41%,14.59%,16.93%,14.45%,19.18%,16.35%,19.72%,15.36%,17.58%
Operating Profit,-3,6,6,14,13,17,21,18,11,20,14,30,24
OPM %,-3%,5%,5%,11%,9%,12%,15%,13%,8%,12%,10%,17%,15%
Other Income,2,1,0,-3,1,1,1,26,1,2,1,2,0
  └─ Exceptional items,0.00,0.00,0.00,-0.59,0.00,0.00,0.00,25.56,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,1.94,0.78,0.26,-2.06,0.62,0.76,0.69,0.92,0.94,1.63,0.84,1.84,0.35
Interest,3,4,7,8,6,8,8,7,8,10,10,9,8
Depreciation,3,3,3,3,3,3,3,3,3,3,3,3,4
Profit before tax,-7,-1,-3,1,5,7,10,34,1,8,1,19,14
Tax %,-3%,25%,8%,-11%,6%,-2%,-0%,1%,0%,2%,5%,-6%,1%
Net Profit,-7,-1,-3,1,5,7,10,34,1,8,1,20,13
  └─ Exceptional items AT,0,0,0,-1,0,0,0,25,0,0,0,0,0
  └─ Profit excl Excep,-7,-1,-3,2,5,7,10,8,1,8,1,20,13
  └─ Profit for PE,-7,-1,-3,2,5,7,10,8,1,8,1,20,13
  └─ Profit for EPS,-7,-1,-3,1,5,7,10,34,1,8,1,20,13
  └─ YOY Profit Growth %,-742%,-53%,-986%,-74%,165%,927%,413%,414%,-78%,9%,-88%,145%,1197%
EPS in Rs,-2.21,-0.27,-1.00,0.31,1.43,2.25,3.14,10.27,0.32,2.45,0.37,6.18,4.10
Raw PDF,,,,,,,,,,,,,
