Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1093,1554,1278,1253,1284,1506,1355,1366,1382,1606,1609,1384,1468
  └─ YOY Sales Growth %,-17.96%,-1.00%,-3.30%,13.66%,17.43%,-3.05%,5.99%,8.97%,7.68%,6.64%,18.73%,1.31%,6.19%
Expenses,960,1416,1185,1157,1154,1346,1219,1205,1205,1392,1416,1208,1303
  └─ Material Cost %,76%,81%,81%,80%,79%,78%,77%,75%,74%,73%,73%,65%,75%
  └─ Employee Cost %,4%,3%,4%,4%,4%,4%,4%,5%,5%,5%,4%,5%,5%
Operating Profit,134,138,94,97,130,160,136,160,177,214,193,176,165
OPM %,12%,9%,7%,8%,10%,11%,10%,12%,13%,13%,12%,13%,11%
Other Income,20,33,34,34,36,35,42,39,50,51,50,63,35
  └─ Exceptional items,-5.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.21,0.00,0.00,0.33,-0.12,-12.33
  └─ Other income normal,25.07,33.03,33.76,33.72,36.45,34.69,42.27,39.13,49.89,51.22,49.44,63.05,47.49
Interest,1,0,0,0,1,1,1,1,1,1,0,1,1
Depreciation,12,13,14,14,14,14,15,15,15,16,16,16,15
Profit before tax,140,157,113,116,151,180,162,184,211,249,227,222,184
Tax %,28%,27%,27%,28%,25%,23%,25%,23%,26%,25%,26%,26%,24%
Net Profit,101,115,83,83,113,138,121,141,157,186,169,163,139
  └─ Minority share,-8,-9,-9,-11,-9,-9,-8,-6,-5,-7,-16,-14,-14
  └─ Exceptional items AT,-4,0,0,0,0,0,0,-0,0,0,0,-0,-8
  └─ Profit excl Excep,105,115,83,83,113,138,121,141,157,186,168,164,147
  └─ Profit for PE,97,106,74,72,104,128,114,135,152,178,153,149,132
  └─ Profit for EPS,93,106,74,72,104,128,114,135,152,178,153,149,125
  └─ YOY Profit Growth %,15%,52%,29%,14%,8%,20%,53%,87%,46%,39%,35%,10%,-13%
EPS in Rs,6.85,7.81,5.45,5.32,7.64,9.41,8.34,9.92,11.14,13.09,11.25,10.96,9.18
Raw PDF,,,,,,,,,,,,,
