Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.96,12.86,16.44,18.13,17.35,18.18,17.89,15.50,22.06,13.21
  └─ YOY Sales Growth %,,,,,15.98%,41.37%,8.82%,-14.51%,27.15%,-27.34%
Expenses,12.99,10.70,14.10,15.28,14.80,15.57,15.25,13.25,18.22,11.64
  └─ Material Cost %,53%,38%,62%,60%,57%,52%,62%,67%,67%,56%
  └─ Employee Cost %,8%,9%,7%,9%,10%,12%,8%,10%,8%,17%
Operating Profit,1.97,2.16,2.34,2.85,2.55,2.61,2.64,2.25,3.84,1.57
OPM %,13.17%,16.80%,14.23%,15.72%,14.70%,14.36%,14.76%,14.52%,17.41%,11.88%
Other Income,0.25,0.05,0.09,0.39,0.31,0.43,0.04,0.16,0.30,0.60
  └─ Other income normal,0.25,0.05,0.09,0.39,0.31,0.43,0.04,0.16,0.30,0.60
Interest,0.08,0.09,0.02,0.18,0.19,0.20,0.22,0.05,0.21,0.31
Depreciation,0.24,0.24,0.13,0.15,0.16,0.18,0.16,0.17,0.23,0.66
Profit before tax,1.90,1.88,2.28,2.91,2.51,2.66,2.30,2.19,3.70,1.20
Tax %,13.16%,33.51%,24.56%,21.31%,24.30%,17.29%,24.78%,25.11%,24.86%,55.00%
Net Profit,1.65,1.26,1.71,2.30,1.90,2.19,1.73,1.64,2.78,0.55
  └─ Profit excl Excep,2,1,2,2,2,2,2,2,3,1
  └─ Profit for PE,2,1,2,2,2,2,2,2,3,1
  └─ Profit for EPS,2,1,2,2,2,2,2,2,3,1
  └─ YOY Profit Growth %,,,,,15%,74%,1%,-29%,46%,-75%
EPS in Rs,1.65,1.08,1.46,1.97,1.60,1.84,1.43,1.34,2.26,0.45
Raw PDF,,,,,,,,,,
