Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,3.65,2.36,6.96,6.26,6.31,8.91
Expenses,2.60,1.87,5.38,5.16,5.03,7.38
  └─ Material Cost %,14.52%,21.19%,43.97%,32.11%,31.38%,49.49%
  └─ Employee Cost %,35.89%,48.31%,21.70%,36.42%,35.66%,25.03%
Operating Profit,1.05,0.49,1.58,1.10,1.28,1.53
OPM %,28.77%,20.76%,22.70%,17.57%,20.29%,17.17%
Other Income,0.00,0.01,0.09,0.02,0.04,0.03
  └─ Other income normal,0.00,0.01,0.09,0.02,0.04,0.03
Interest,0.13,0.11,0.12,0.04,0.11,0.23
Depreciation,0.04,0.03,0.06,0.08,0.13,0.14
Profit before tax,0.88,0.36,1.49,1.00,1.08,1.19
Tax %,30.68%,11.11%,35.57%,16.00%,39.81%,26.05%
Net Profit,0.60,0.31,0.97,0.82,0.66,0.88
  └─ Profit from Associates,-0.01,-0.00,0.01,-0.02,-0.00,-0.00
  └─ Minority share,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00
  └─ Profit excl Excep,0.60,0.31,0.97,0.82,0.66,0.88
  └─ Profit for PE,0.60,0.31,0.96,0.82,0.66,0.88
  └─ Profit for EPS,0.60,0.31,0.96,0.82,0.66,0.88
EPS in Rs,3.09,1.07,3.31,2.83,2.27,3.03
Raw PDF,,,,,,
