Metric,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007
Sales,45.19,48.74,49.18,50.18,58.88,46.34,44.78,62.64,66.36
  └─ YOY Sales Growth %,,,,,30.29%,-4.92%,-8.95%,24.83%,12.70%
Expenses,38.57,41.15,41.15,42.03,50.63,40.24,38.57,53.43,57.59
  └─ Material Cost %,44.37%,42.37%,41.56%,42.83%,46.04%,34.55%,42.59%,53.14%,44.15%
  └─ Employee Cost %,10.16%,9.95%,10.41%,9.03%,9.87%,12.11%,9.22%,7.76%,11.98%
Operating Profit,6.62,7.59,8.03,8.15,8.25,6.10,6.21,9.21,8.77
OPM %,14.65%,15.57%,16.33%,16.24%,14.01%,13.16%,13.87%,14.70%,13.22%
Other Income,0.15,0.21,0.20,0.43,0.26,0.77,0.52,0.13,0.00
  └─ Other income normal,0.15,0.21,0.20,0.43,0.26,0.77,0.52,0.13,-0.00
Interest,1.45,1.05,1.00,0.96,1.10,1.61,1.74,2.01,2.71
Depreciation,1.11,0.93,1.02,1.10,1.13,1.07,1.16,1.24,1.61
Profit before tax,4.21,5.82,6.21,6.52,6.28,4.19,3.83,6.09,4.45
Tax %,27.32%,19.93%,24.64%,23.62%,20.70%,14.32%,9.66%,24.30%,18.65%
Net Profit,3.06,4.56,4.62,4.98,4.88,3.49,3.36,4.61,3.52
  └─ Minority share,0.02,-0.01,-0.07,-0.00,-0.03,-0.03,0.03,-0.00,-0.00
  └─ Profit excl Excep,3.06,4.56,4.62,4.98,4.88,3.49,3.36,4.61,3.52
  └─ Profit for PE,3.08,4.55,4.55,4.98,4.85,3.46,3.39,4.61,3.52
  └─ Profit for EPS,3.08,4.55,4.55,4.98,4.85,3.46,3.39,4.61,3.52
  └─ YOY Profit Growth %,,,,,57.47%,-23.96%,-25.49%,-7.43%,-27.42%
EPS in Rs,,,,,2.85,2.03,1.99,2.71,2.07
Raw PDF,,,,,,,,,
