Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,39.16,47.99,43.69,46.32,67.81
  └─ YOY Sales Growth %,,,,18.28%,41.30%
Expenses,35.34,41.55,37.87,40.01,61.63
  └─ Material Cost %,55%,54%,49%,51%,64%
  └─ Employee Cost %,11%,11%,12%,11%,9%
Operating Profit,3.82,6.44,5.82,6.31,6.18
OPM %,9.75%,13.42%,13.32%,13.62%,9.11%
Other Income,0.18,0.28,0.15,0.35,0.56
  └─ Exceptional items,-0.02,-0.02,-0.04,-0.03,-0.03
  └─ Other income normal,0.20,0.30,0.19,0.38,0.59
Interest,0.89,0.77,0.70,0.78,0.86
Depreciation,1.31,2.37,2.01,3.11,2.66
Profit before tax,1.80,3.58,3.26,2.77,3.22
Tax %,31.67%,32.68%,25.15%,16.25%,50.62%
Net Profit,1.61,2.75,2.84,2.56,1.77
  └─ Profit from Associates,0.37,0.34,0.40,0.24,0.18
  └─ Exceptional items AT,-0.01,-0.01,-0.03,-0.02,-0.02
  └─ Profit excl Excep,1.62,2.76,2.87,2.58,1.79
  └─ Profit for PE,1.62,2.76,2.87,2.58,1.79
  └─ Profit for EPS,1.61,2.75,2.84,2.56,1.77
  └─ YOY Profit Growth %,,,,59.26%,-35.14%
EPS in Rs,,2.72,2.07,1.86,1.29
Raw PDF,,,,,
