Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,138,201,142,165,140,166,173,183,192,227
  └─ YOY Sales Growth %,,,,,1.81%,-17.39%,22.03%,10.53%,36.70%,36.28%
Expenses,115,170,118,132,114,143,144,154,162,195
  └─ Material Cost %,60%,64%,57%,52%,53%,62%,54%,52%,53%,53%
  └─ Employee Cost %,4%,3%,4%,4%,6%,4%,5%,5%,6%,6%
Operating Profit,23,32,24,34,26,24,30,29,29,32
OPM %,17%,16%,17%,20%,19%,14%,17%,16%,15%,14%
Other Income,0,5,2,3,3,5,5,5,4,4
  └─ Other income normal,0.18,5.10,2.31,2.60,2.69,4.72,5.10,5.42,4.29,4.19
Interest,3,4,4,4,4,3,3,2,3,3
Depreciation,3,2,2,3,3,3,4,4,4,4
Profit before tax,17,31,20,29,22,22,28,28,26,29
Tax %,27%,22%,25%,29%,26%,26%,26%,26%,23%,26%
Net Profit,12,24,15,21,16,16,21,20,20,21
  └─ Minority share,-0.48,-0.91,-0.60,-1.41,-0.91,-1.39,-0.26,-0.26,-1.20,-1.28
  └─ Profit excl Excep,12.47,24.13,15.37,20.90,15.90,16.49,21.13,20.45,20.39,21.08
  └─ Profit for PE,11.99,23.22,14.77,19.49,14.99,15.10,20.87,20.19,19.19,19.80
  └─ Profit for EPS,11.99,23.22,14.77,19.49,14.99,15.10,20.87,20.19,19.19,19.80
  └─ YOY Profit Growth %,,,,,25.02%,-34.97%,41.30%,3.59%,28.02%,31.13%
EPS in Rs,6.65,12.78,0.81,1.07,0.81,0.76,1.05,1.01,0.96,0.99
Raw PDF,,,,,,,,,,
