Metric,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
Sales,1.42,0.43,0.44,1.06,0.98,0.51,1.22,0.75
  └─ YOY Sales Growth %,,,,,-30.99%,18.60%,177.27%,-29.25%
Expenses,1.10,0.31,0.29,0.67,0.63,0.32,0.92,0.60
  └─ Employee Cost %,23.24%,58.14%,54.55%,50.00%,52.04%,47.06%,55.74%,49.33%
Operating Profit,0.32,0.12,0.15,0.39,0.35,0.19,0.30,0.15
OPM %,22.54%,27.91%,34.09%,36.79%,35.71%,37.25%,24.59%,20.00%
Other Income,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03
  └─ Other income normal,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03
Interest,0.00,0.01,0.01,0.02,0.02,0.02,0.02,0.01
Depreciation,0.03,0.03,0.03,0.09,0.06,0.03,0.10,0.07
Profit before tax,0.32,0.12,0.15,0.32,0.31,0.18,0.22,0.10
Tax %,0.00%,0.00%,0.00%,81.25%,0.00%,0.00%,0.00%,260.00%
Net Profit,0.32,0.12,0.15,0.06,0.31,0.18,0.21,-0.16
  └─ Profit excl Excep,0,0,0,0,0,0,0,-0
  └─ Profit for PE,0,0,0,0,0,0,0,-0
  └─ Profit for EPS,0,0,0,0,0,0,0,-0
  └─ YOY Profit Growth %,,,,,-3%,50%,40%,-367%
EPS in Rs,1.07,0.40,0.50,0.20,1.03,0.60,0.70,-0.53
Raw PDF,,,,,,,,
