Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,35.71,47.47,41.05,41.24,39.94,57.30,38.14
  └─ YOY Sales Growth %,,,,,11.85%,20.71%,-7.09%
Expenses,30.60,43.21,36.51,36.01,33.91,43.99,32.51
  └─ Material Cost %,53%,58%,57%,56%,54%,54%,53%
  └─ Employee Cost %,13%,13%,15%,14%,14%,11%,15%
Operating Profit,5.11,4.26,4.54,5.23,6.03,13.31,5.63
OPM %,14.31%,8.97%,11.06%,12.68%,15.10%,23.23%,14.76%
Other Income,6.74,90.37,3.19,6.76,8.46,3.98,3.81
  └─ Exceptional items,0.00,86.96,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,6.74,3.41,3.19,6.76,8.46,3.98,3.81
Interest,0.16,0.16,0.15,0.14,0.13,0.13,0.12
Depreciation,1.01,0.97,1.06,1.09,1.08,1.10,1.19
Profit before tax,10.68,93.50,6.52,10.76,13.28,16.06,8.13
Tax %,17.04%,9.16%,26.38%,17.19%,21.84%,26.21%,27.06%
Net Profit,8.85,84.95,4.81,8.92,10.38,11.85,5.94
  └─ Exceptional items AT,0.00,79.01,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,8.85,5.94,4.81,8.92,10.38,11.85,5.94
  └─ Profit for PE,8.85,5.94,4.81,8.92,10.38,11.85,5.94
  └─ Profit for EPS,8.85,84.95,4.81,8.92,10.38,11.85,5.94
  └─ YOY Profit Growth %,,,,,17.29%,99.49%,23.49%
EPS in Rs,2.77,26.55,1.50,2.79,3.24,3.70,1.86
Raw PDF,,,,,,,
