Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,460,604,518,465,454,401,425,567,629,582,521,470
  └─ YOY Sales Growth %,,,,,-1.35%,-33.65%,-17.98%,21.85%,38.55%,45.11%,22.75%,-17.06%
Expenses,394,561,444,383,419,398,365,452,578,559,464,372
  └─ Material Cost %,71%,83%,71%,64%,80%,86%,68%,62%,81%,84%,73%,61%
  └─ Employee Cost %,6%,3%,5%,7%,6%,6%,7%,6%,5%,4%,6%,7%
Operating Profit,66,43,74,82,35,3,60,115,50,23,57,98
OPM %,14%,7%,14%,18%,8%,1%,14%,20%,8%,4%,11%,21%
Other Income,2,2,2,2,3,1,1,2,1,3,2,0
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.35
  └─ Other income normal,1.72,2.11,2.28,2.44,3.15,1.40,1.24,2.34,1.19,3.28,2.03,1.77
Interest,18,14,8,17,18,12,9,18,20,12,6,13
Depreciation,9,10,10,11,11,12,12,12,12,12,13,12
Profit before tax,41,22,59,57,9,-19,41,88,19,2,41,74
Tax %,25%,28%,26%,26%,25%,-22%,26%,27%,25%,41%,25%,26%
Net Profit,31,16,43,42,6,-14,30,64,15,1,30,55
  └─ Profit from Associates,0,0,0,0,-1,1,0,0,0,0,0,0
  └─ Minority share,0,0,0,0,0,-0,1,2,0,0,-0,0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,-1
  └─ Profit excl Excep,31,16,43,42,6,-14,30,64,15,1,30,56
  └─ Profit for PE,31,16,43,42,6,-15,31,66,15,1,30,56
  └─ Profit for EPS,31,16,43,42,6,-15,31,66,15,1,30,55
  └─ YOY Profit Growth %,,,,,-81%,-193%,-28%,56%,150%,107%,-4%,-15%
EPS in Rs,8.12,4.10,11.40,11.05,1.53,-3.81,8.18,17.27,3.82,0.26,7.86,14.36
Raw PDF,,,,,,,,,,,,
