Metric,Mar 2025,Dec 2025,Mar 2026
Sales,369,591,619
  └─ YOY Sales Growth %,,,68%
Expenses,246,417,433
  └─ Employee Cost %,13.82%,12.34%,10.52%
Operating Profit,123,175,186
OPM %,33%,30%,30%
Other Income,4,10,6
  └─ Other income normal,4.05,9.64,5.86
Interest,52,75,77
Depreciation,5,5,5
Profit before tax,70,104,110
Tax %,23%,26%,25%
Net Profit,54,77,82
  └─ Profit excl Excep,54,77,82
  └─ Profit for PE,54,77,82
  └─ Profit for EPS,54,77,82
  └─ YOY Profit Growth %,,,52%
EPS in Rs,101.01,14.25,6.92
Raw PDF,,,
