Metric,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012
Sales,28.84,31.73,34.09,35.70,40.70,42.29,36.74,46.70
  └─ YOY Sales Growth %,,,,,41.12%,33.28%,7.77%,30.81%
Expenses,26.65,29.63,32.07,34.94,38.26,40.54,36.96,44.31
  └─ Material Cost %,84%,85%,84%,89%,85%,87%,89%,88%
  └─ Employee Cost %,3%,2%,3%,2%,2%,2%,2%,2%
Operating Profit,2.19,2.10,2.02,0.76,2.44,1.75,-0.22,2.39
OPM %,7.59%,6.62%,5.93%,2.13%,6.00%,4.14%,-0.60%,5.12%
Other Income,0.00,0.01,0.03,0.39,0.01,0.01,0.00,-1.85
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.93
  └─ Other income normal,0.00,0.01,0.03,0.39,0.01,0.01,0.00,0.08
Interest,0.62,0.63,0.76,0.62,0.66,0.65,0.41,0.51
Depreciation,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.29
Profit before tax,1.30,1.20,1.01,0.25,1.50,0.82,-0.92,-0.26
Tax %,30.77%,29.17%,24.75%,116.00%,30.00%,42.68%,-36.96%,19.23%
Net Profit,0.90,0.85,0.76,-0.04,1.05,0.47,-0.58,-0.31
  └─ Exceptional items AT,0,0,0,0,0,0,0,-2
  └─ Profit excl Excep,1,1,1,-0,1,0,-1,2
  └─ Profit for PE,1,1,1,-0,1,0,-1,2
  └─ Profit for EPS,1,1,1,-0,1,0,-1,-0
  └─ YOY Profit Growth %,,,,,17%,-45%,-176%,4025%
EPS in Rs,0.23,0.22,0.20,-0.01,0.27,0.12,-0.15,-0.08
Raw PDF,,,,,,,,
