Metric,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,9.17,5.24,7.19,7.86,2.78,5.62,4.03,2.41,10.50
Expenses,5.67,4.96,5.44,7.17,5.78,5.15,3.79,4.52,3.50
  └─ Employee Cost %,28.46%,45.04%,31.85%,45.04%,97.12%,40.75%,43.67%,75.10%,11.43%
Operating Profit,3.50,0.28,1.75,0.69,-3.00,0.47,0.24,-2.11,7.00
OPM %,38.17%,5.34%,24.34%,8.78%,-107.91%,8.36%,5.96%,-87.55%,66.67%
Other Income,0.00,0.00,0.04,0.03,0.33,0.04,0.14,0.03,0.15
  └─ Other income normal,0.00,0.00,0.04,0.03,0.33,0.04,0.14,0.03,0.15
Interest,0.01,0.10,0.13,0.16,0.15,0.28,0.33,0.41,0.38
Depreciation,0.17,0.19,0.24,0.30,0.31,0.35,0.38,0.60,0.81
Profit before tax,3.32,-0.01,1.42,0.26,-3.13,-0.12,-0.33,-3.09,5.96
Tax %,12.05%,-400.00%,29.58%,26.92%,-19.81%,0.00%,15.15%,-22.65%,21.14%
Net Profit,2.92,0.04,1.00,0.19,-2.52,-0.12,-0.38,-2.39,4.70
  └─ Profit excl Excep,2.92,0.04,1.00,0.19,-2.52,-0.12,-0.38,-2.39,4.70
  └─ Profit for PE,2.92,0.04,1.00,0.19,-2.52,-0.12,-0.38,-2.39,4.70
  └─ Profit for EPS,2.92,0.04,1.00,0.19,-2.52,-0.12,-0.38,-2.39,4.70
EPS in Rs,20.86,0.06,1.11,0.21,-2.80,-0.13,-0.42,-2.67,5.03
Raw PDF,,,,,,,,,
