Metric,Dec 2025,Mar 2026
Sales,8.26,5.94
Expenses,5.99,4.43
  └─ Material Cost %,42.98%,28.96%
  └─ Employee Cost %,5.33%,10.27%
Operating Profit,2.27,1.51
OPM %,27.48%,25.42%
Other Income,0.35,0.21
  └─ Other income normal,0.35,0.21
Interest,0.56,0.60
Depreciation,0.72,0.59
Profit before tax,1.34,0.53
Tax %,38.06%,32.08%
Net Profit,0.82,0.37
  └─ Profit excl Excep,0.82,0.37
  └─ Profit for PE,0.82,0.37
  └─ Profit for EPS,0.82,0.37
EPS in Rs,0.12,0.05
Raw PDF,,
