Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,204,124,98,88,151,68,87,147,308,88,107,54,254
  └─ YOY Sales Growth %,-4.07%,57.55%,7.79%,-36.84%,-26.21%,-45.36%,-11.07%,67.76%,104.49%,28.94%,23.11%,-63.53%,-17.60%
Expenses,181,105,83,72,142,51,74,132,286,70,91,49,233
  └─ Material Cost %,46%,23%,69%,50%,49%,43%,49%,69%,79%,44%,59%,49%,52%
  └─ Employee Cost %,3%,3%,3%,4%,2%,4%,3%,3%,1%,5%,4%,8%,1%
Operating Profit,24,19,14,16,9,17,13,15,22,17,16,5,21
OPM %,12%,15%,14%,18%,6%,24%,15%,10%,7%,20%,15%,9%,8%
Other Income,1,1,3,1,2,1,2,1,2,3,8,2,2
  └─ Other income normal,0.51,0.66,3.00,0.79,1.68,0.91,2.18,0.86,2.40,2.99,8.42,1.88,2.37
Interest,7,6,6,6,5,6,6,8,7,8,8,7,3
Depreciation,4,4,4,4,4,3,3,5,4,3,3,3,4
Profit before tax,13,9,7,7,1,8,5,4,13,9,14,-4,17
Tax %,45%,17%,11%,22%,-99%,18%,18%,30%,15%,17%,10%,16%,30%
Net Profit,6,8,8,5,3,7,4,3,11,7,12,-4,12
  └─ Profit from Associates,-1.35,-0.15,1.69,-0.89,0.06,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Minority share,-0.90,0.78,-0.82,-1.03,-0.13,0.04,-0.01,0.18,0.74,0.00,0.08,0.07,0.08
  └─ Profit excl Excep,5.92,7.55,7.96,4.62,2.76,6.80,4.18,2.51,11.43,7.48,12.46,-4.26,11.50
  └─ Profit for PE,5.02,8.33,7.14,3.59,2.63,6.84,4.17,2.69,12.17,7.48,12.54,-4.19,11.58
  └─ Profit for EPS,5.02,8.33,7.14,3.59,2.63,6.84,4.17,2.69,12.17,7.48,12.54,-4.19,11.58
  └─ YOY Profit Growth %,540.35%,733.00%,-70.00%,21.69%,-47.61%,-17.89%,-41.60%,-25.07%,362.74%,9.36%,200.72%,-255.76%,-4.85%
EPS in Rs,0.19,0.31,0.26,0.13,0.10,0.25,0.15,0.10,0.45,0.28,0.47,-0.16,0.43
Raw PDF,,,,,,,,,,,,,
