Metric,Dec 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0,781,729,753,798,792,820,850,846,944,1052,1081,1162
  └─ YOY Sales Growth %,,,,,,1.40%,12.44%,12.76%,6.05%,19.23%,28.30%,27.23%,37.37%
Expenses,7,359,982,231,133,257,268,243,306,272,281,310,261
  └─ Material Cost %,,27.69%,0.00%,5.88%,8.94%,4.72%,0.46%,1.45%,1.17%,0.82%,0.33%,0.46%,0.09%
  └─ Employee Cost %,,1.38%,1.41%,1.43%,1.40%,1.32%,1.71%,1.71%,1.47%,1.93%,1.56%,1.53%,1.81%
Operating Profit,-7,422,-253,522,665,535,552,607,540,672,770,771,901
OPM %,,54%,-35%,69%,83%,68%,67%,71%,64%,71%,73%,71%,78%
Other Income,0,1,5,3,5,39,38,36,32,30,40,24,27
  └─ Other income normal,0.00,0.54,4.62,2.86,4.91,38.98,38.48,36.06,32.49,29.66,39.60,23.59,27.29
Interest,0,192,235,219,228,251,287,280,299,345,402,366,352
Depreciation,0,249,315,312,307,316,324,334,339,358,350,377,359
Profit before tax,-7,-18,-798,-6,135,8,-21,28,-66,-2,58,52,217
Tax %,0%,13%,-1%,135%,10%,51%,45%,-85%,-6%,-130%,30%,21%,38%
Net Profit,-7,-20,-793,-14,122,4,-30,52,-62,0,40,41,135
  └─ Minority share,0,0,0,0,0,0,0,0,-0,0,0,0,-0
  └─ Profit excl Excep,-7,-20,-793,-14,122,4,-30,52,-62,0,40,41,135
  └─ Profit for PE,-7,-20,-793,-14,122,4,-30,52,-62,0,40,41,135
  └─ Profit for EPS,-7,-20,-793,-14,122,4,-30,52,-62,0,40,41,135
  └─ YOY Profit Growth %,,,,-100%,,119%,96%,464%,-151%,-88%,235%,-21%,319%
EPS in Rs,,-0.16,-6.15,-0.11,0.94,0.03,-0.22,0.39,-0.46,0.00,0.30,0.31,1.00
Raw PDF,,,,,,,,,,,,,
