Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,26.19,30.14,28.48,37.36,40.65
  └─ YOY Sales Growth %,,,,42.65%,34.87%
Expenses,20.24,23.60,23.09,28.80,29.23
  └─ Material Cost %,41.31%,47.94%,48.31%,50.32%,35.10%
  └─ Employee Cost %,3.25%,2.95%,3.27%,2.54%,3.22%
Operating Profit,5.95,6.54,5.39,8.56,11.42
OPM %,22.72%,21.70%,18.93%,22.91%,28.09%
Other Income,0.00,0.00,0.94,0.39,0.38
  └─ Other income normal,0.00,0.00,0.94,0.39,0.38
Interest,0.06,0.10,0.08,0.04,0.13
Depreciation,0.40,0.43,0.45,0.76,0.74
Profit before tax,5.49,6.01,5.80,8.15,10.93
Tax %,28.23%,25.29%,22.07%,25.40%,25.80%
Net Profit,3.94,4.49,4.52,6.08,8.11
  └─ Profit excl Excep,4,4,5,6,8
  └─ Profit for PE,4,4,5,6,8
  └─ Profit for EPS,4,4,5,6,8
  └─ YOY Profit Growth %,,,,54%,81%
EPS in Rs,2.46,2.81,2.08,2.80,3.73
Raw PDF,,,,,
