Metric,Dec 2023,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,9.34,19.20,22.46,9.93,32.36,19.85,18.67,16.12,179.49
  └─ YOY Sales Growth %,,,,6%,,3%,-17%,62%,455%
Expenses,2.88,10.52,11.23,3.78,33.96,14.10,13.16,9.23,174.36
  └─ Material Cost %,-31%,31%,11%,-8%,67%,27%,14%,-3%,81%
  └─ Employee Cost %,6%,1%,1%,2%,3%,4%,5%,6%,1%
Operating Profit,6.46,8.68,11.23,6.15,-1.60,5.75,5.51,6.89,5.13
OPM %,69.16%,45.21%,50.00%,61.93%,-4.94%,28.97%,29.51%,42.74%,2.86%
Other Income,1.11,0.29,7.07,0.71,5.13,3.74,-0.69,5.25,1.10
  └─ Other income normal,1.11,0.29,7.07,0.71,5.13,3.74,-0.69,5.25,1.10
Interest,4.39,3.40,11.32,4.40,9.61,7.01,3.88,13.40,3.20
Depreciation,1.56,1.41,1.41,1.41,1.42,1.30,1.67,0.58,5.71
Profit before tax,1.62,4.16,5.57,1.05,-7.50,1.18,-0.73,-1.84,-2.68
Tax %,12.35%,36.06%,9.34%,91.43%,-20.80%,71.19%,-12.33%,95.65%,85.45%
Net Profit,1.40,2.66,5.04,0.09,-5.95,0.34,-0.64,-3.59,-4.97
  └─ Profit from Associates,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,1.40,2.66,5.04,0.09,-5.95,0.34,-0.64,-3.59,-4.97
  └─ Profit for PE,1.40,2.66,5.04,0.09,-5.95,0.34,-0.64,-3.59,-4.97
  └─ Profit for EPS,1.40,2.66,5.04,0.09,-5.95,0.34,-0.64,-3.59,-4.97
  └─ YOY Profit Growth %,,,,-93.57%,,-87.22%,-112.70%,-4088.89%,16.47%
EPS in Rs,13.86,26.34,2.92,0.05,-3.44,0.20,-0.37,-2.08,-1.89
Raw PDF,,,,,,,,,
