Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales,532.70,574.33,534.72,522.45,580.46,468.30,511.69,553.93,533.08,492.98,471.60,498.59,526.85
  └─ YOY Sales Growth %,9.22%,10.57%,-18.23%,-26.33%,8.97%,-18.46%,-4.31%,6.03%,-8.16%,5.27%,-7.83%,-9.99%,-1.17%
Expenses,517.95,546.86,476.24,465.45,534.80,416.36,442.61,492.21,487.16,450.12,423.32,455.00,517.28
  └─ Material Cost %,63%,70%,61%,61%,63%,56%,55%,61%,60%,60%,56%,63%,73%
  └─ Employee Cost %,10%,7%,9%,9%,8%,11%,11%,9%,10%,11%,11%,10%,9%
Operating Profit,14.75,27.47,58.48,57.00,45.66,51.94,69.08,61.72,45.92,42.86,48.28,43.59,9.57
OPM %,2.77%,4.78%,10.94%,10.91%,7.87%,11.09%,13.50%,11.14%,8.61%,8.69%,10.24%,8.74%,1.82%
Other Income,3.09,5.41,7.04,5.35,5.09,8.00,5.14,6.93,8.74,10.45,6.80,3.72,5.36
  └─ Other income normal,3.09,5.41,7.04,5.35,5.09,8.00,5.14,6.93,8.74,10.45,6.80,3.72,5.36
Interest,7.94,6.90,8.21,11.30,9.22,6.04,9.21,10.91,9.54,6.59,8.39,10.58,8.00
Depreciation,8.93,9.00,9.15,9.53,9.63,9.83,9.93,9.81,9.99,10.00,10.28,10.24,10.27
Profit before tax,0.97,16.98,48.16,41.52,31.90,44.07,55.08,47.93,35.13,36.72,36.41,26.49,-3.34
Tax %,4.12%,33.33%,34.53%,34.78%,35.39%,34.08%,29.85%,34.57%,34.79%,36.00%,34.91%,36.32%,-6.59%
Net Profit,0.93,11.32,31.53,27.08,20.61,29.05,38.64,31.36,22.91,23.50,23.70,16.87,-3.12
  └─ Profit excl Excep,1,11,32,27,21,29,39,31,23,24,24,17,-3
  └─ Profit for PE,1,11,32,27,21,29,39,31,23,24,24,17,-3
  └─ Profit for EPS,1,11,32,27,21,29,39,31,23,24,24,17,-3
  └─ YOY Profit Growth %,-93%,-53%,95%,65%,2116%,157%,23%,16%,11%,-19%,-39%,-46%,-114%
EPS in Rs,0.11,1.30,3.62,3.11,2.37,3.34,4.44,3.60,2.63,2.70,2.72,1.94,-0.36
Raw PDF,,,,,,,,,,,,,
