Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,103.16,118.89,118.60,101.88,128.71
  └─ YOY Sales Growth %,,,,-1.24%,8.26%
Expenses,82.85,96.48,99.24,83.14,105.17
  └─ Material Cost %,60%,61%,64%,57%,62%
  └─ Employee Cost %,12%,12%,11%,13%,12%
Operating Profit,20.31,22.41,19.36,18.74,23.54
OPM %,19.69%,18.85%,16.32%,18.39%,18.29%
Other Income,0.34,-0.38,0.42,0.16,0.99
  └─ Exceptional items,0.22,-0.90,0.00,0.00,0.00
  └─ Other income normal,0.12,0.52,0.42,0.16,0.99
Interest,7.86,8.14,9.95,9.96,10.82
Depreciation,11.66,11.61,10.87,10.91,10.73
Profit before tax,1.13,2.28,-1.04,-1.97,2.98
Tax %,-640.71%,-136.40%,-214.42%,-113.20%,-78.86%
Net Profit,8.37,5.39,1.20,0.26,5.32
  └─ Exceptional items AT,0.22,-0.90,0.00,0.00,0.00
  └─ Profit excl Excep,8.15,6.29,1.20,0.26,5.32
  └─ Profit for PE,8.15,6.29,1.20,0.26,5.32
  └─ Profit for EPS,8.37,5.39,1.20,0.26,5.32
  └─ YOY Profit Growth %,,,,-96.81%,-15.42%
EPS in Rs,1.26,0.81,0.18,0.04,0.78
Raw PDF,,,,,
